N	2gram	Berdyaev_M	VLabPisa
1	в этом	34	29
2	не только	42	26
3	и в	61	26
4	может быть	42	23
5	хотя бы	8	20
6	и не	26	20
7	т е	5	18
8	не может	39	17
9	в том	9	15
10	в его	10	15
11	прежде всего	18	13
12	все это	6	13
13	л толстой	2	12
14	что в	12	11
15	то же	4	10
16	не могут	6	10
17	но и	34	10
18	о том	5	10
19	к этому	3	9
20	об этом	2	9
21	для него	28	9
22	в своем	17	8
23	том что	7	8
24	могут быть	2	8
25	все эти	3	8
26	было бы	11	8
27	только в	7	8
28	вместе с	7	8
29	это не	10	7
30	во всех	3	7
31	по отношению	4	7
32	то что	10	7
33	отношению к	4	7
34	тому что	2	7
35	как и	14	7
36	в нем	26	7
37	не было	25	7
38	а не	36	7
39	л толстого	3	6
40	не в	16	6
41	в то	2	6
42	в себе	12	6
43	он же	3	6
44	это и	7	6
45	все же	2	6
46	у него	38	6
47	идеи и	2	6
48	так и	5	6
49	приводит к	2	6
50	один из	9	6
51	и его	13	6
52	бы и	8	6
53	между тем	2	6
54	никогда не	30	5
55	сказать что	5	5
56	в их	4	5
57	одним из	2	5
58	к тому	6	5
59	как бы	10	5
60	в них	5	5
61	и есть	21	5
62	и ее	2	4
63	роль в	2	4
64	в виду	2	4
65	что он	16	4
66	с тем	10	4
67	что все	5	4
68	когда он	3	4
69	должен быть	4	4
70	в самом	15	4
71	в ее	3	4
72	в своей	18	4
73	в этой	12	4
74	с его	6	4
75	и от	3	3
76	и к	9	3
77	с этим	4	3
78	так же	5	3
79	и он	21	3
80	идей и	3	3
81	этот процесс	5	3
82	бы в	3	3
83	в значительной	2	3
84	в конце	11	3
85	его в	6	3
86	и как	3	3
87	тому как	2	3
88	если бы	5	3
89	подобно тому	2	3
90	как он	4	3
91	для того	4	3
92	и их	3	3
93	у нас	13	3
94	в дневнике	4	3
95	его не	5	3
96	того что	13	3
97	что без	2	3
98	нет и	6	3
99	что у	3	3
100	она не	9	3
101	в явлении	2	3
102	а в	4	3
103	в котором	9	3
104	в творчестве	13	3
105	точки зрения	6	3
106	даже и	2	3
107	мира и	6	3
108	в которых	5	3
109	со своим	2	3
110	своем творчестве	3	3
111	человека и	19	3
112	что не	3	3
113	жизни и	6	3
114	того чтобы	4	3
115	что и	6	3
116	и мир	2	3
117	и по	4	3
118	что они	4	3
119	же и	2	3
120	момент в	5	3
121	не о	2	2
122	это особенно	2	2
123	относится к	2	2
124	если в	2	2
125	от его	3	2
126	самого себя	6	2
127	я бы	2	2
128	чтобы не	4	2
129	и потому	17	2
130	которые в	2	2
131	к этим	3	2
132	ума и	3	2
133	а к	2	2
134	о чем	3	2
135	в каждом	4	2
136	должно быть	5	2
137	что она	5	2
138	отличается от	2	2
139	что нет	2	2
140	же о	2	2
141	от того	4	2
142	и у	3	2
143	в самых	2	2
144	которая не	2	2
145	мысль о	2	2
146	конце концов	3	2
147	и никогда	4	2
148	ее как	2	2
149	связана с	9	2
150	а как	2	2
151	нет ни	3	2
152	бы не	4	2
153	братьях карамазовых	5	2
154	и быть	2	2
155	его художественного	2	2
156	достоевского и	12	2
157	у них	4	2
158	как у	2	2
159	нет никаких	2	2
160	в которой	8	2
161	а для	2	2
162	русских писателей	4	2
163	в чем	3	2
164	сих пор	5	2
165	после того	2	2
166	в жизни	7	2
167	они и	3	2
168	но не	8	2
169	и для	7	2
170	и этот	4	2
171	ни с	4	2
172	также и	6	2
173	только с	3	2
174	но в	12	2
175	они не	4	2
176	он в	4	2
177	что такое	2	2
178	все его	3	2
179	в своих	4	2
180	но к	2	2
181	себе и	4	2
182	в ней	23	2
183	в сфере	2	2
184	будто бы	3	2
185	из себя	2	2
186	но для	2	2
187	показывает как	3	2
188	на этом	5	2
189	тогда когда	2	2
190	в образе	4	2
191	он и	2	2
192	значит что	4	2
193	смысле слова	7	2
194	можно ли	2	2
195	по себе	2	2
196	и достоевский	18	2
197	ни одного	2	2
198	для них	3	2
199	может не	3	2
200	человека в	26	2
201	должны быть	3	2
202	он сам	11	2
203	было в	3	2
204	он не	34	2
205	должна быть	7	2
206	не быть	2	2
207	анны карениной	2	2
208	но с	2	2
209	своих героев	2	2
210	хотя и	2	2
211	лишь в	8	2
212	до сих	5	2
213	того как	3	2
