N	2gram	Losev_Vesc	slovoVRo
1	и в	44	92
2	и т	37	82
3	то есть	2	64
4	в нем	6	59
5	может быть	37	59
6	и его	4	59
7	и не	57	51
8	не только	48	44
9	не может	44	41
10	но и	19	39
11	в этом	17	36
12	а не	34	34
13	во всех	5	32
14	так и	4	30
15	точки зрения	10	30
16	в его	5	27
17	слова в	2	26
18	все это	7	25
19	слово в	2	24
20	слова и	7	24
21	как бы	19	24
22	то же	12	23
23	и на	2	22
24	не в	14	21
25	в сущности	7	21
26	как в	3	21
27	вовсе не	11	21
28	в то	11	20
29	прежде всего	17	19
30	как мы	6	19
31	как и	15	18
32	себя в	11	18
33	же время	4	18
34	с ним	8	18
35	все же	18	17
36	оно не	6	17
37	все эти	5	17
38	в истории	3	17
39	в основе	4	17
40	и даже	12	17
41	таким образом	16	17
42	но в	8	16
43	той или	3	15
44	и с	11	15
45	со своим	8	15
46	в той	6	15
47	с точки	6	15
48	только в	23	14
49	это не	9	13
50	и следовательно	20	13
51	точка зрения	5	13
52	с его	2	13
53	в особенности	3	13
54	отношении к	4	13
55	и для	13	13
56	с другой	8	13
57	в слове	2	13
58	никогда не	5	12
59	в отношении	7	12
60	и потому	8	12
61	отношение к	4	12
62	а в	6	12
63	или в	3	12
64	во всяком	4	12
65	еще не	12	12
66	один из	5	11
67	языка как	2	11
68	с ними	4	11
69	одной стороны	3	11
70	с одной	3	11
71	для него	8	11
72	в своем	9	10
73	и их	11	10
74	в том	15	10
75	и все	6	10
76	она не	9	10
77	в себе	23	10
78	с другими	8	10
79	т д	36	10
80	далеко не	2	10
81	уже не	15	10
82	может не	4	10
83	его в	8	9
84	и от	4	9
85	или менее	4	9
86	к нему	3	9
87	более или	4	9
88	в их	4	9
89	в своей	6	9
90	сказать что	21	9
91	одна из	6	9
92	так как	17	9
93	поэтому и	2	9
94	с ее	10	9
95	но не	9	9
96	в смысле	22	9
97	на почве	6	9
98	конечно не	2	9
99	он не	4	9
100	быть и	5	9
101	человека и	3	8
102	в ней	14	8
103	не на	2	8
104	с этим	4	8
105	в самом	13	8
106	для нас	2	8
107	всяком случае	2	8
108	перед нами	3	7
109	том что	13	7
110	но именно	3	7
111	по преимуществу	2	7
112	того же	5	7
113	ту же	2	7
114	в целом	3	7
115	у него	3	7
116	смысла и	8	7
117	слово и	4	7
118	здесь не	2	7
119	но все	3	7
120	также и	9	7
121	еще более	4	7
122	жизни и	6	7
123	не было	4	7
124	кроме того	5	7
125	же и	2	7
126	во всем	2	7
127	мы уже	3	7
128	ничего не	12	6
129	как к	5	6
130	на этом	4	6
131	бы и	9	6
132	что в	11	6
133	ни в	11	6
134	вне себя	2	6
135	в чисто	5	6
136	в качестве	4	6
137	мы сказали	2	6
138	можно сказать	8	6
139	другой стороны	3	6
