N	2gram	Nazirov_Tv	Stilisti
1	и в	40	42
2	как бы	26	30
3	не только	16	28
4	прежде всего	10	22
5	хотя бы	5	18
6	то же	19	16
7	но и	10	16
8	и не	12	14
9	не может	9	13
10	может быть	11	13
11	как и	16	12
12	мы уже	2	11
13	в себе	3	10
14	и как	5	10
15	отнюдь не	9	10
16	в этом	11	10
17	в то	23	9
18	все же	9	9
19	то что	9	9
20	эти слова	3	9
21	при этом	14	9
22	мы не	3	9
23	тем самым	10	8
24	ничего не	3	8
25	так как	6	8
26	и это	2	8
27	в ней	2	8
28	таким образом	14	8
29	с его	12	8
30	никогда не	13	7
31	и от	8	7
32	в которой	5	7
33	же время	18	7
34	так и	5	7
35	потому что	10	7
36	только в	7	7
37	а не	9	7
38	и на	12	7
39	было бы	2	7
40	и его	14	7
41	той же	4	7
42	и тем	2	7
43	во всех	2	6
44	не в	3	6
45	но ведь	2	6
46	в конце	5	6
47	в нем	4	6
48	в свою	8	6
49	в процессе	3	6
50	на его	4	6
51	в его	19	6
52	в этой	7	6
53	все время	3	5
54	то есть	16	5
55	не является	3	5
56	и наконец	3	5
57	и их	2	5
58	самом деле	4	5
59	как это	2	5
60	а с	4	5
61	тому что	2	5
62	а в	10	5
63	но в	11	5
64	в самом	6	5
65	и с	9	5
66	уже в	5	5
67	вместе с	4	5
68	в одном	3	4
69	так же	6	4
70	так сказать	4	4
71	его в	2	4
72	на него	2	4
73	если бы	4	4
74	свою очередь	2	4
75	у нас	2	4
76	влияние на	3	4
77	того что	3	4
78	самого начала	3	4
79	один из	5	4
80	и все	6	4
81	в каждом	4	4
82	с самого	3	4
83	к тому	2	4
84	о том	9	4
85	точка зрения	2	4
86	уже не	6	4
87	в целом	7	4
88	не существует	3	4
89	мы видим	3	4
90	было в	2	4
91	все это	14	4
92	в качестве	2	4
93	себя в	3	4
94	можно сказать	2	4
95	не к	2	4
96	и без	2	4
97	сказать что	3	3
98	на самом	3	3
99	это не	9	3
100	том что	14	3
101	нуждается в	2	3
102	в начале	2	3
103	и поэтому	2	3
104	перед нами	3	3
105	об этом	4	3
106	и даже	8	3
107	и здесь	2	3
108	в устах	2	3
109	роль в	2	3
110	во второй	3	3
111	в виду	3	3
112	та же	4	3
113	в том	13	3
114	в частности	4	3
115	еще не	5	3
116	только на	2	3
117	его и	2	3
118	как в	10	3
119	и вот	2	3
120	не знает	2	3
121	для него	9	3
122	не так	5	3
123	ни на	3	3
124	что у	5	3
125	в котором	8	3
126	что оно	2	3
127	быть может	3	3
128	если не	4	3
129	не будет	2	3
130	из них	4	3
131	если он	4	3
132	хотя и	5	3
133	жизни и	3	3
134	что и	3	3
135	в ее	3	3
136	все эти	3	3
137	связи с	2	3
138	между тем	2	3
139	вряд ли	2	3
140	в основе	3	3
141	не мог	3	3
142	здесь мы	2	3
143	до конца	2	2
144	на эти	2	2
145	и потому	4	2
146	к достижению	2	2
147	с этим	2	2
148	слова не	2	2
149	в нашей	2	2
150	в движении	2	2
151	на эту	4	2
152	человека и	6	2
153	в первой	4	2
154	времени и	4	2
155	к этому	4	2
156	человек с	2	2
157	по отношению	3	2
158	не нужно	2	2
159	ли не	3	2
160	самое время	2	2
161	важную роль	2	2
162	друг друга	2	2
163	есть не	2	2
164	к которому	3	2
165	я и	3	2
166	но эта	3	2
167	тем что	2	2
168	человека в	9	2
169	в их	5	2
170	том же	3	2
171	в этих	2	2
172	что он	11	2
173	и сам	5	2
174	в беседе	2	2
175	и вследствие	2	2
176	ни к	2	2
177	человеческой истории	2	2
178	отношению к	3	2
179	же самая	2	2
180	одной из	7	2
181	в жизни	3	2
182	в мире	8	2
183	на этот	3	2
184	но не	7	2
185	в душе	4	2
186	как уже	2	2
187	в него	2	2
188	тому же	2	2
189	гораздо более	2	2
190	он говорит	3	2
191	зависит от	4	2
192	в своих	8	2
193	еще более	3	2
194	связь с	3	2
195	ту же	4	2
196	не есть	2	2
197	этот вопрос	4	2
198	в которых	3	2
199	однако в	3	2
200	иными словами	2	2
201	представляет собой	4	2
202	между собой	2	2
203	и он	4	2
204	развития в	2	2
205	место в	6	2
206	для них	2	2
207	действительной жизни	4	2
208	человека с	2	2
209	не было	3	2
210	и когда	2	2
211	но это	10	2
212	в своей	8	2
213	или даже	2	2
214	и тогда	2	2
215	или в	2	2
216	в связи	2	2
217	был бы	3	2
218	он не	10	2
219	в дальнейшем	7	2
220	с ним	4	2
221	тот же	3	2
222	вовсе не	5	2
223	к миру	2	2
