N	3gram	Savitsky_E	Myslijsy
1	в том что	6	47
2	не может быть	2	19
3	заключает в себе	3	19
4	в свою очередь	2	14
5	само по себе	4	14
6	то же время	14	13
7	в то же	15	13
8	во всяком случае	3	12
9	с другой стороны	2	12
10	только в том	2	12
11	и в этом	4	12
12	для того чтобы	5	11
13	с одной стороны	8	10
14	на то что	2	9
15	так и в	2	8
16	как бы ни	3	8
17	можно думать что	3	7
18	можно сказать что	3	7
19	не только в	4	7
20	с точки зрения	16	7
21	в этом смысле	3	7
22	друг от друга	2	6
23	по себе не	2	5
24	то что в	2	5
25	в данном случае	2	4
26	вслед за тем	2	4
27	в некотором смысле	3	4
28	с этой точки	5	4
29	в этом отношении	3	4
30	бы то ни	4	3
31	из того что	2	3
32	рано или поздно	2	3
33	этой точки зрения	5	3
34	в применении к	3	3
35	нам кажется что	2	3
36	можно было бы	3	3
37	между тем в	3	3
38	не говоря уже	2	3
39	с течением времени	2	3
40	одной стороны и	6	3
41	в большинстве случаев	2	3
42	хотя бы и	3	3
43	заключается в том	2	3
44	в одном из	2	3
45	а тем более	2	2
46	так же как	5	2
47	но не только	2	2
48	и не имеет	2	2
49	как мы видели	2	2
50	то ни было	4	2
51	того что в	2	2
52	очевидно что в	2	2
53	к тому чтобы	2	2
