N	2gram	Voloshinov	PoTuStor
1	может быть	14	17
2	и в	12	16
3	и пр	3	12
4	мы можем	2	9
5	и проч	3	9
6	в этом	4	9
7	таким образом	12	9
8	прежде всего	8	9
9	и с	3	8
10	в психике	2	8
11	точки зрения	14	8
12	не может	16	8
13	и его	13	8
14	сказать что	7	7
15	не только	4	7
16	с его	2	7
17	с точки	2	6
18	конечно не	3	6
19	самом деле	3	6
20	и к	4	6
21	для него	3	6
22	при этом	6	6
23	ни в	3	5
24	все эти	3	5
25	как бы	13	5
26	нуждается в	3	5
27	еще не	3	5
28	в чем	2	5
29	отношение к	4	5
30	и на	4	4
31	все это	3	4
32	на самом	4	4
33	его в	4	4
34	в его	2	4
35	и ее	3	4
36	но и	3	4
37	и не	10	4
38	и все	2	4
39	но в	5	4
40	но мы	2	4
41	и наконец	3	4
42	так как	9	4
43	только в	6	4
44	в нем	6	4
45	хотя бы	5	4
46	можно сказать	5	4
47	так и	4	4
48	отнюдь не	5	4
49	художественного творчества	3	4
50	едва ли	2	3
51	что в	2	3
52	и притом	2	3
53	жизни и	4	3
54	и потому	2	3
55	в том	6	3
56	с другими	2	3
57	между ними	2	3
58	те же	2	3
59	до сих	3	3
60	в основном	2	3
61	только на	3	3
62	в этих	2	3
63	как это	2	3
64	то что	5	3
65	могут быть	2	3
66	сих пор	3	3
67	вместе с	2	3
68	и др	5	3
69	и значение	2	3
70	том что	5	3
71	никогда не	5	2
72	для нас	7	2
73	что мы	5	2
74	в них	3	2
75	в жизни	5	2
76	в каком	3	2
77	к ним	2	2
78	и вообще	3	2
79	и для	3	2
80	что не	4	2
81	и по	3	2
82	что и	2	2
83	не менее	3	2
84	как не	2	2
85	но отнюдь	2	2
86	о том	3	2
87	то же	5	2
88	как и	5	2
89	так же	3	2
90	в своей	3	2
91	мы не	3	2
92	себя и	2	2
93	ни было	4	2
94	в самом	4	2
95	с этой	2	2
96	он не	2	2
97	оно не	2	2
98	не есть	2	2
99	в душе	2	2
100	за пределы	4	2
101	к этому	2	2
102	можем сказать	2	2
103	с помощью	6	2
104	в пределах	3	2
105	и так	2	2
106	на границе	3	2
107	с ним	3	2
108	между собой	2	2
109	но это	2	2
110	но зато	2	2
