N	3gram	Trubetskoy	Komedia
1	в том что	3	29
2	к тому же	4	21
3	до сих пор	5	16
4	то же время	2	16
5	в то же	2	16
6	о том что	4	13
7	для того чтобы	5	11
8	с одной стороны	7	9
9	вместе с тем	8	9
10	то ни было	2	7
11	бы то ни	2	7
12	в конце концов	3	7
13	во всяком случае	6	7
14	так или иначе	3	7
15	с самого начала	2	7
16	в связи с	3	6
17	с точки зрения	6	6
18	в том числе	5	6
19	то же самое	2	5
20	в этом отношении	2	5
21	тем не менее	3	5
22	но все же	4	4
23	по сравнению с	2	4
24	более или менее	5	3
25	таким образом в	2	3
26	может быть даже	2	3
27	друг с другом	5	3
28	то что он	2	3
29	на то что	2	3
30	как бы то	2	3
31	том числе и	4	3
32	на пути к	2	3
33	точно так же	3	2
34	так же как	3	2
35	и таким образом	3	2
36	с тех пор	2	2
37	этой точки зрения	2	2
38	с этой точки	2	2
39	к одной из	2	2
