N	2gram	Medvedev_F	Narrotol
1	не только	14	62
2	и не	34	50
3	при этом	14	47
4	но и	18	45
5	а не	11	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	30	30
9	и в	54	30
10	в том	17	29
11	том что	3	28
12	в этом	39	28
13	а в	11	27
14	состоит в	3	25
15	только в	6	25
16	в данном	2	24
17	как и	18	24
18	не в	16	23
19	то что	14	23
20	не может	26	20
21	данном случае	2	17
22	в себе	4	17
23	так и	24	17
24	со стороны	7	16
25	в его	30	16
26	но в	9	15
27	можно сказать	2	15
28	к тому	6	15
29	в жизни	3	14
30	и его	27	14
31	в своем	12	13
32	в своей	16	13
33	то же	16	13
34	уже не	9	13
35	перед нами	3	12
36	все же	8	12
37	прежде всего	34	12
38	как в	12	12
39	как бы	10	12
40	сводится к	6	12
41	тем самым	5	11
42	по отношению	4	11
43	и тем	3	11
44	отличие от	2	11
45	в нем	25	11
46	в этой	10	11
47	если бы	8	11
48	жизни в	2	11
49	отношению к	4	11
50	в отличие	2	11
51	в мире	4	11
52	хотя и	3	11
53	никогда не	6	10
54	в то	14	10
55	ничего не	5	10
56	как это	8	10
57	один из	4	10
58	точки зрения	21	10
59	того что	7	10
60	не является	3	10
61	и все	9	10
62	но не	5	10
63	жизни и	10	10
64	между тем	4	10
65	с его	12	10
66	еще не	6	9
67	что он	8	9
68	что в	10	9
69	отнюдь не	13	9
70	не сводится	2	9
71	тем не	2	9
72	для него	9	9
73	далеко не	2	9
74	столь же	2	9
75	потому что	2	9
76	с ним	3	9
77	как раз	8	9
78	самом деле	12	8
79	не менее	12	8
80	того чтобы	4	8
81	одна из	2	8
82	мира в	2	8
83	этом отношении	7	8
84	у нас	6	8
85	в литературе	6	8
86	и для	5	8
87	в самом	17	8
88	и к	7	8
89	в той	3	8
90	же время	13	8
91	в таком	2	8
92	он не	8	8
93	в свою	8	7
94	это не	4	7
95	в конце	2	7
96	едва ли	3	7
97	в чем	2	7
98	в ней	15	7
99	одного из	4	7
100	в целом	7	7
101	в ее	10	7
102	же в	4	7
103	с другой	8	7
104	в котором	2	7
105	и на	10	7
106	или в	2	7
107	в форме	2	7
108	одной стороны	5	6
109	в современной	2	6
110	они не	7	6
111	могло бы	2	6
112	во втором	7	6
113	не могла	3	6
114	между двумя	3	6
115	что и	10	6
116	сказать что	3	6
117	то в	3	6
118	то и	2	6
119	из этих	4	6
120	здесь не	5	6
121	однако и	3	6
122	в результате	8	6
123	на него	3	6
124	не по	4	6
125	с одной	5	6
126	в нашем	2	6
127	на то	2	6
128	слова в	2	6
129	к его	3	6
130	таким образом	28	6
131	в слове	4	6
132	от его	3	5
133	на самом	8	5
134	для нее	2	5
135	в другом	2	5
136	а именно	3	5
137	и о	3	5
138	к нему	3	5
139	особое место	2	5
140	место в	8	5
141	точка зрения	3	5
142	не столько	5	5
143	было бы	10	5
144	мы не	6	5
145	свою очередь	6	5
146	и здесь	8	5
147	и от	9	5
148	так сказать	6	5
149	с ее	7	5
150	и даже	7	5
151	для того	3	5
152	в пределах	13	5
153	в какой	3	5
154	их в	2	5
155	именно в	12	5
156	в своих	3	5
157	но для	4	5
158	еще в	2	5
159	из них	5	5
160	в одном	2	5
161	не было	7	5
162	начала и	2	5
163	даже в	2	4
164	не о	7	4
165	бытия в	3	4
166	и ее	15	4
167	но именно	2	4
168	роль в	2	4
169	а на	2	4
170	в виду	2	4
171	как он	2	4
172	в области	6	4
173	только на	8	4
174	друг друга	4	4
175	в душе	2	4
176	в них	4	4
177	тому что	3	4
178	она не	8	4
179	так в	3	4
180	что на	3	4
181	не будет	2	4
182	и по	3	4
183	не на	3	4
184	что они	4	4
185	в первом	8	4
186	как мы	10	4
187	в основе	7	4
188	быть и	5	4
189	от этих	2	4
190	хотя бы	10	4
191	могла бы	3	4
192	к этому	3	4
193	это было	3	4
194	к ней	3	4
195	и как	6	4
196	не имеет	2	4
197	со всеми	3	4
198	не могло	6	4
199	не с	2	4
200	он является	2	4
201	зависит от	2	4
202	и притом	2	4
203	оно не	6	4
204	и с	17	4
205	жизни а	2	4
206	по себе	10	4
207	несмотря на	2	4
208	всяком случае	6	4
209	во всяком	6	4
210	или даже	3	4
211	не к	2	4
212	вместе с	8	4
213	до конца	9	3
214	ее и	3	3
215	ни о	3	3
216	и потому	9	3
217	идет о	3	3
218	так же	5	3
219	но как	2	3
220	каждый из	3	3
221	как к	5	3
222	должен быть	5	3
223	а лишь	4	3
224	с этой	4	3
225	для других	2	3
226	а как	5	3
227	в виде	2	3
228	и иных	2	3
229	и вот	2	3
230	его не	2	3
231	одной из	2	3
232	в него	2	3
233	и это	4	3
234	ни одного	2	3
235	между ними	3	3
236	кругозора и	3	3
237	что не	4	3
238	а к	2	3
239	же как	3	3
240	все эти	12	3
241	той же	2	3
242	связи с	12	3
243	в связи	11	3
244	и т	22	3
245	особенно в	6	3
246	происходит и	2	3
247	или иного	8	3
248	в зависимости	4	3
249	произведения как	3	3
250	все время	7	3
251	того или	6	3
252	характер и	2	3
253	в строгом	2	3
254	но это	4	3
255	в первой	2	3
256	и читатель	3	3
257	бы быть	3	3
258	если она	2	3
259	в которой	5	3
260	а о	4	3
261	зависимости от	5	3
262	каждого из	3	3
263	во второй	3	3
264	лишь в	15	3
265	должен был	3	3
266	в противовес	2	3
267	и лишь	4	3
268	от их	2	3
269	в этих	3	3
270	сих пор	7	3
271	не происходит	2	3
272	жизни не	2	3
273	входит в	8	3
274	приводит к	4	3
275	еще одна	2	3
276	он и	3	3
277	только не	2	3
278	как она	5	3
279	с точки	17	3
280	и что	2	3
281	говорить о	4	3
282	что было	2	3
283	и только	5	3
284	как на	5	3
285	не следует	5	3
286	что именно	2	3
287	на фоне	7	3
288	жизни но	2	3
289	чем он	3	3
290	нам в	2	3
291	тем же	3	3
292	но он	2	3
293	до сих	7	3
294	к одному	2	2
295	его смысла	2	2
296	очевидно что	2	2
297	вот как	3	2
298	в действительности	3	2
299	глубоко и	2	2
300	даже не	2	2
301	наконец в	3	2
302	или менее	7	2
303	глава первая	3	2
304	является в	2	2
305	всю свою	2	2
306	в их	16	2
307	так что	2	2
308	в формах	4	2
309	т п	11	2
310	они и	2	2
311	в произведении	2	2
312	в контексте	2	2
313	а все	2	2
314	она была	3	2
315	в общем	8	2
316	более или	7	2
317	в более	2	2
318	гуманитарных науках	2	2
319	не входит	2	2
320	русской литературы	2	2
321	могут быть	7	2
322	бы она	3	2
323	в сюжете	2	2
324	в году	2	2
325	язык как	8	2
326	в процессе	17	2
327	все остальное	4	2
328	что же	6	2
329	для них	4	2
330	перехода от	2	2
331	у тургенева	2	2
332	и во	2	2
333	все те	2	2
334	было в	3	2
335	в сущности	3	2
336	никто не	2	2
337	от тех	2	2
338	как для	2	2
339	и иные	3	2
340	вовсе не	18	2
341	во внешнем	2	2
342	в литературном	2	2
343	к миру	2	2
344	глава вторая	2	2
345	если в	3	2
346	но все	4	2
347	в россии	4	2
348	в отрыве	2	2
349	какой бы	2	2
350	время в	4	2
351	другой стороны	5	2
352	по аналогии	5	2
353	и через	2	2
354	должно быть	13	2
355	его как	5	2
356	бы в	6	2
357	не утрачивая	2	2
358	в этот	2	2
359	то чтобы	2	2
360	целый ряд	4	2
361	как если	2	2
362	слова и	5	2
363	превращается в	2	2
364	все это	11	2
365	художественного целого	2	2
366	тем что	6	2
367	та же	3	2
368	не есть	4	2
369	в особенности	7	2
370	и наконец	7	2
371	как о	8	2
372	его и	2	2
373	смысл и	2	2
374	во всех	9	2
375	должна быть	11	2
376	и более	4	2
377	отношение к	4	2
378	на нее	2	2
379	сами по	4	2
380	иначе как	2	2
381	и является	3	2
382	установкой на	2	2
383	когда он	3	2
384	или иначе	2	2
385	в самую	2	2
386	во многом	2	2
387	вступает в	2	2
388	к которому	2	2
389	том смысле	3	2
390	раз и	6	2
391	не для	4	2
392	еще более	6	2
393	в других	5	2
394	к другому	2	2
395	отрыве от	2	2
396	значения и	4	2
397	из него	2	2
398	это и	7	2
399	таким же	2	2
400	если же	4	2
401	этих двух	2	2
402	чтобы стать	2	2
403	однако не	5	2
404	и всякий	2	2
405	и сами	2	2
406	не можем	3	2
407	в системе	3	2
408	с помощью	13	2
409	ясно что	3	2
