N	2gram	Trubetskoy	Literetu
1	и не	9	47
2	не только	10	46
3	и в	24	44
4	может быть	17	43
5	при этом	9	41
6	но и	11	41
7	тогда как	6	40
8	в том	31	39
9	в этом	13	38
10	том что	20	32
11	в частности	2	30
12	то что	18	29
13	в мире	6	28
14	то же	4	26
15	как и	10	23
16	в то	6	23
17	не в	9	22
18	так и	10	22
19	того что	7	22
20	не может	18	22
21	же время	2	21
22	в себе	5	20
23	прежде всего	3	19
24	я в	2	19
25	как бы	10	18
26	то есть	2	17
27	точки зрения	14	17
28	в его	5	17
29	с другой	6	17
30	в этой	7	16
31	в жизни	3	16
32	тем самым	3	15
33	не менее	7	15
34	в целом	5	15
35	я не	2	15
36	только в	6	15
37	по отношению	11	14
38	что он	7	14
39	в своем	12	13
40	с одной	3	13
41	но не	3	13
42	и его	2	13
43	в данном	3	12
44	еще не	6	12
45	одним из	4	12
46	отношению к	11	12
47	о том	7	12
48	одной стороны	2	12
49	никогда не	4	11
50	данном случае	3	11
51	это не	3	11
52	в другом	2	11
53	отличие от	3	11
54	и сам	2	11
55	а в	3	11
56	или иначе	5	11
57	столь же	5	11
58	в основе	2	11
59	вместе с	7	11
60	даже в	3	10
61	для себя	2	10
62	в области	4	10
63	что в	9	10
64	так или	5	10
65	отнюдь не	2	10
66	из них	5	10
67	и на	6	10
68	потому что	9	10
69	жизни и	2	10
70	одно из	3	9
71	к тому	8	9
72	связи с	4	9
73	в начале	3	9
74	лишь в	5	9
75	с этой	3	9
76	и т.д	4	9
77	одна из	2	8
78	в конце	4	8
79	все же	15	8
80	по существу	7	8
81	но в	5	8
82	того же	9	8
83	в глазах	2	8
84	для него	2	8
85	в своих	2	8
86	той же	2	8
87	с точки	8	8
88	из того	4	7
89	в их	4	7
90	по своей	7	7
91	друг друга	2	7
92	и других	3	7
93	для этого	7	7
94	другой стороны	5	7
95	и для	6	7
96	у нас	3	7
97	именно в	5	7
98	в самом	8	7
99	и с	5	7
100	в нем	3	7
101	он не	4	7
102	тому же	6	7
103	его в	5	6
104	в виду	2	6
105	самом деле	12	6
106	культуры в	10	6
107	а затем	2	6
108	было бы	3	6
109	не было	2	6
110	и то	4	6
111	то в	2	6
112	то и	2	6
113	во всех	10	6
114	с ее	2	6
115	и наконец	3	6
116	далеко не	5	6
117	в ней	3	6
118	и только	2	6
119	у него	5	6
120	как на	6	6
121	как будто	5	6
122	тем же	2	6
123	так как	7	5
124	от себя	2	5
125	так что	6	5
126	не знает	2	5
127	во втором	2	5
128	между тем	12	5
129	несмотря на	6	5
130	что и	7	5
131	тех кто	5	5
132	себя и	2	5
133	в сущности	2	5
134	в связи	3	5
135	самого себя	4	5
136	хотя бы	4	5
137	должно быть	5	5
138	тем не	4	5
139	ни было	3	5
140	во имя	3	5
141	в силу	7	5
142	как у	3	5
143	том чтобы	2	5
144	в себя	2	5
145	в нашем	3	5
146	и если	6	5
147	и к	5	5
148	но с	2	5
149	в свою	2	4
150	очевидно что	3	4
151	для нас	3	4
152	каждый из	3	4
153	как к	5	4
154	выше и	4	4
155	не надо	3	4
156	с тем	4	4
157	общего с	2	4
158	и все	9	4
159	на том	2	4
160	ту же	2	4
161	а потому	5	4
162	в них	2	4
163	во всей	2	4
164	хотя и	4	4
165	как мы	3	4
166	во всяком	2	4
167	бы то	3	4
168	тех же	2	4
169	в индивидуальном	2	4
170	к этому	5	4
171	сводится к	2	4
172	для того	8	4
173	совершенно не	4	4
174	такой же	2	4
175	что его	4	4
176	все они	6	4
177	на то	9	4
178	на этом	2	4
179	ко всему	2	4
180	в сторону	3	4
181	не вполне	3	4
182	вовсе не	2	4
183	из этого	7	4
184	и что	9	4
185	то ни	4	4
186	таким образом	34	4
187	о которой	2	4
188	на самом	7	3
189	вопрос о	3	3
190	и потому	3	3
191	так же	8	3
192	но как	2	3
193	тех пор	2	3
194	одну из	2	3
195	отношение к	4	3
196	нет в	2	3
197	том же	4	3
198	но по	3	3
199	а с	4	3
200	в сознании	7	3
201	они не	2	3
202	что же	2	3
203	а к	2	3
204	же как	3	3
205	того чтобы	8	3
206	и до	3	3
207	все эти	19	3
208	то с	2	3
209	в истории	3	3
210	свою очередь	2	3
211	должна быть	6	3
212	тот же	3	3
213	на нее	2	3
214	культуры но	2	3
215	и от	5	3
216	только то	2	3
217	не так	4	3
218	если бы	8	3
219	также и	2	3
220	в этих	3	3
221	вследствие этого	3	3
222	и состоит	2	3
223	а для	2	3
224	что для	4	3
225	в ту	2	3
226	не имеет	2	3
227	целом ряде	3	3
228	не есть	4	3
229	из которых	4	3
230	со своей	2	3
231	всяком случае	2	3
232	между людьми	2	3
233	все что	10	3
234	и того	3	3
235	и уже	2	3
236	усматривает в	2	3
237	говорить о	2	3
238	ничего общего	3	3
239	и культуры	4	3
240	с ним	6	3
241	мы и	2	3
242	он все	2	2
243	к своим	2	2
244	индивидуальном сознании	2	2
245	а и	8	2
246	для меня	4	2
247	от него	3	2
248	свой народ	2	2
249	и где	2	2
250	и у	4	2
251	должен быть	2	2
