N	2gram	Kanaev_Sov	Dialekti
1	и не	6	120
2	а не	3	78
3	и в	7	77
4	точки зрения	12	72
5	может быть	12	71
6	не только	4	66
7	и есть	2	55
8	ничего не	6	54
9	не может	17	53
10	и даже	2	47
11	так как	4	46
12	с точки	5	46
13	что это	2	46
14	как бы	4	43
15	и что	2	42
16	в том	4	40
17	что такое	2	39
18	в этом	7	39
19	то же	3	39
20	в себе	3	38
21	что она	3	38
22	прежде всего	5	37
23	это не	4	36
24	что в	2	34
25	в нем	3	34
26	и все	3	33
27	все это	3	31
28	ясно что	3	31
29	отнюдь не	3	30
30	было бы	3	29
31	как и	6	28
32	не в	3	26
33	и пр	2	25
34	говорить о	2	25
35	таким образом	11	23
36	что все	2	20
37	совершенно не	2	20
38	уже не	2	20
39	в таком	2	20
40	не менее	2	19
41	в самом	2	19
42	что же	5	18
43	жизни и	4	18
44	мы не	9	16
45	тем не	2	16
46	быть и	2	15
47	все же	3	15
48	в виде	2	15
49	самом деле	2	15
50	и мы	3	15
51	и потому	3	14
52	же это	4	14
53	но в	3	13
54	отличается от	3	13
55	и к	3	13
56	вопрос о	4	12
57	могут быть	2	12
58	еще не	3	12
59	все эти	5	12
60	не могут	2	12
61	а в	4	12
62	с этим	2	12
63	мы должны	4	11
64	из них	4	11
65	как мы	2	10
66	в его	2	10
67	если же	2	10
68	мы видим	2	10
69	во всяком	2	10
70	то и	2	10
71	в результате	6	10
72	времени и	2	10
73	если мы	4	10
74	как он	3	9
75	и по	2	9
76	той же	2	9
77	в одном	3	9
78	или иной	2	9
79	при этом	3	9
80	мы можем	6	9
81	на этом	2	9
82	в дальнейшем	4	8
83	в этой	3	8
84	у нас	3	8
85	с одной	2	8
86	но все	2	8
87	когда мы	3	8
88	нет и	4	8
89	в конце	3	7
90	из этих	2	7
91	он должен	2	7
92	мы получаем	3	7
93	зависимости от	4	7
94	из которых	2	7
95	то ни	2	7
96	в один	2	6
97	может иметь	2	6
98	в зависимости	4	6
99	и они	2	6
100	одна из	3	6
101	в которой	2	6
102	только так	2	6
103	вместе с	4	6
104	в науке	2	6
105	уже в	3	6
106	всяком случае	2	6
107	может не	3	6
108	но мы	3	5
109	состоит из	3	5
110	точку зрения	4	5
111	же мы	2	5
112	и во	2	5
113	только один	2	5
114	это за	2	5
115	и наконец	5	5
116	он может	3	5
117	их в	4	5
118	ведь это	3	5
119	в области	3	5
120	в каждом	8	4
121	мы знаем	2	4
122	еще более	2	4
123	только одна	6	4
124	свою собственную	2	4
125	или же	2	4
126	говорить об	2	4
127	из двух	3	4
128	у него	2	4
129	такой же	2	4
130	со всеми	2	4
131	к чему	2	4
132	не можем	7	4
133	можно назвать	2	4
134	же самое	2	4
135	для нас	3	3
136	своего предмета	2	3
137	отличие от	2	3
138	самого начала	3	3
139	с самого	3	3
140	в первом	3	3
141	мы получим	3	3
142	тот же	2	3
143	при таком	3	3
144	как известно	2	3
145	в свою	2	3
146	тем же	2	3
147	представлять себе	2	3
148	ее на	2	3
149	знаем что	2	3
150	не дает	2	3
151	в некоторых	2	3
152	и именно	2	3
153	ли оно	2	3
154	и будет	2	3
155	не знаем	2	3
156	она может	2	2
157	все те	2	2
158	роль в	2	2
159	свою очередь	2	2
160	возможность и	2	2
161	на его	2	2
162	ни одна	2	2
163	говорим о	2	2
164	мы с	2	2
165	на их	2	2
166	принципиально не	2	2
167	дает нам	2	2
168	тот или	2	2
169	в условиях	5	2
170	в нашем	2	2
171	и пространства	2	2
172	на котором	2	2
173	а все	3	2
174	с другом	2	2
175	вне времени	2	2
176	всякой науки	3	2
177	в целом	4	2
178	жизни мы	2	2
179	друг с	2	2
180	на этот	2	2
181	в наших	3	2
182	может дать	2	2
183	этих двух	2	2
184	в системе	3	2
