N	2gram	Nazirov_Vr	OGranits
1	и в	8	13
2	и его	3	12
3	и не	5	8
4	не может	2	8
5	может быть	4	8
6	в его	3	7
7	точки зрения	2	7
8	и т.п	2	7
9	не только	9	6
10	как бы	4	6
11	таким образом	2	6
12	то что	7	6
13	все же	6	5
14	с точки	2	5
15	но в	6	4
16	то же	5	4
17	в своей	2	4
18	все это	4	4
19	никогда не	2	3
20	и то	2	3
21	и все	7	3
22	и уже	3	3
23	как и	6	3
24	в себе	2	3
25	что в	7	3
26	но и	7	3
27	в этом	8	2
28	в них	2	2
29	уже в	4	2
30	в том	3	2
31	тем что	3	2
32	несмотря на	4	2
33	а в	2	2
34	том что	3	2
35	а также	2	2
36	в связи	3	2
37	не менее	2	2
38	так же	4	2
39	в своих	4	2
40	его на	2	2
41	в нем	6	2
42	при этом	4	2
43	и ее	2	2
44	в ней	4	2
45	между тем	5	2
46	в чем	3	2
47	в этот	3	2
48	не мог	2	2
49	для него	2	2
