N	3gram	Losev_Vesc	Freidism
1	с точки зрения	6	15
2	не может быть	22	14
3	в самом деле	7	10
4	в том что	9	9
5	во всяком случае	2	8
6	в то же	5	6
7	то же время	4	6
8	можно сказать что	3	5
9	тем не менее	11	4
10	в этом отношении	2	4
11	сам по себе	4	4
12	в данном случае	2	4
13	в свою очередь	5	4
14	все то что	2	3
15	мы не можем	3	3
16	бы то ни	12	3
17	о том что	4	3
18	в собственном смысле	3	3
19	для того чтобы	2	3
20	только то что	3	3
21	все это –	2	3
22	мы видели что	3	3
23	то ни было	12	2
24	в применении к	2	2
25	ни в каком	6	2
26	том что он	2	2
27	к тому что	2	2
28	для этого нужно	2	2
29	а следовательно и	2	2
30	и тем не	5	2
31	то что мы	3	2
32	что же такое	4	2
33	хотя бы и	2	2
34	как раз и	2	2
35	заключается в том	3	2
36	ни о каком	2	2
37	в конце концов	2	2
38	у нас в	2	2
39	с одной стороны	3	2
40	в каком случае	4	2
41	в чем же	5	2
42	в этом смысле	2	2
43	равно как и	4	2
44	это и есть	4	2
