N	3gram	Vygotskiy_	Komedia
1	в том что	24	29
2	до сих пор	6	16
3	в то же	2	16
4	о том что	4	13
5	в самом деле	4	13
6	для того чтобы	24	11
7	в то время	8	11
8	в свою очередь	3	10
9	едва ли не	3	10
10	по отношению к	9	9
11	то время как	7	9
12	с одной стороны	7	9
13	вместе с тем	6	9
14	с другой стороны	3	8
15	в первую очередь	3	7
16	с самого начала	13	7
17	с точки зрения	31	6
18	в том числе	2	6
19	в отличие от	4	6
20	то же самое	11	5
21	в этом отношении	7	5
22	том что он	2	5
23	тем не менее	4	5
24	в силу этого	2	4
25	к тому что	10	4
26	в этой области	2	4
27	можно было бы	5	4
28	в самом начале	5	4
29	по сравнению с	20	4
30	и столь же	2	3
31	в той же	2	3
32	сделать вывод что	2	3
33	друг от друга	3	3
34	в том же	3	3
35	таким образом в	2	3
36	друг с другом	6	3
37	на то что	5	3
38	том числе и	2	3
39	состоит в том	3	3
40	в какой мере	2	3
41	в большинстве случаев	2	2
42	как мы видели	7	2
43	только в том	2	2
44	подобно тому как	2	2
45	в первом случае	5	2
46	в зависимости от	6	2
47	точно так же	3	2
48	том что в	3	2
49	не только в	2	2
50	не иначе как	6	2
51	мере в какой	2	2
52	в этом случае	15	2
53	представление о том	2	2
54	так же как	13	2
55	в конечном счете	2	2
56	только потому что	3	2
57	этой точки зрения	4	2
58	том что она	2	2
59	в этом смысле	2	2
60	как и в	4	2
61	с этой точки	4	2
62	одной стороны и	4	2
