N	2gram	Voloshinov	StatiiOP
1	и в	13	103
2	в том	2	89
3	том что	2	77
4	в этом	2	76
5	что в	3	74
6	не только	6	60
7	но и	3	46
8	то что	6	44
9	в его	7	42
10	и не	8	41
11	может быть	8	38
12	было бы	4	32
13	вовсе не	2	31
14	все это	4	29
15	тем что	2	29
16	таким образом	6	28
17	в г	2	28
18	а в	2	27
19	а не	2	27
20	но в	4	26
21	так и	3	25
22	и его	12	24
23	все же	5	23
24	не в	3	23
25	точки зрения	7	23
26	в области	2	22
27	прежде всего	9	22
28	в которой	3	22
29	как в	2	22
30	и пр	7	21
31	в своей	4	19
32	г в	3	19
33	только в	6	19
34	не может	8	18
35	с другой	2	18
36	самом деле	3	17
37	в данном	2	17
38	в самом	2	17
39	как бы	6	17
40	с этим	3	16
41	в ней	2	16
42	если бы	2	16
43	в отношении	2	15
44	как и	3	15
45	для него	2	15
46	другой стороны	2	15
47	к тому	2	14
48	между тем	2	14
49	то же	4	14
50	в течение	2	14
51	с точки	5	14
52	в нем	2	13
53	в языке	2	13
54	не менее	2	12
55	что они	2	12
56	так как	3	12
57	хотя бы	5	12
58	в своих	2	12
59	никогда не	3	11
60	в другом	2	11
61	своего рода	2	11
62	в них	2	11
63	все эти	2	11
64	так же	2	10
65	а как	2	10
66	не столько	3	10
67	в целом	2	10
68	в каждом	4	9
69	в чем	2	9
70	что же	3	9
71	несмотря на	2	9
72	там где	2	9
73	вряд ли	3	9
74	в одном	3	9
75	не является	4	9
76	с этой	2	9
77	и для	3	9
78	и к	2	9
79	что эта	2	9
80	и тем	2	9
81	могут быть	2	8
82	в их	3	8
83	к сожалению	2	8
84	и др	2	8
85	в общем	2	8
86	а также	2	8
87	но ведь	5	8
88	не имеет	2	8
89	данном случае	2	7
90	уже в	2	7
91	в ее	3	7
92	с самого	2	7
93	и то	3	7
94	кажется что	2	7
95	лишь в	4	7
96	отношению к	3	7
97	еще и	4	7
98	не мог	2	7
99	в себе	3	6
100	по отношению	3	6
101	и все	3	6
102	языка и	5	6
103	мы не	4	6
104	разумеется что	2	6
105	говорить о	3	6
106	литературного языка	2	6
107	для себя	2	5
108	точку зрения	3	5
109	одной стороны	2	5
110	при этом	2	5
111	думать что	2	5
112	в тех	2	5
113	не на	2	5
114	в двух	4	5
115	нужно отметить	2	5
116	самого начала	2	5
117	или иного	2	5
118	того или	2	5
119	не как	3	5
120	с одной	2	5
121	ее в	2	5
122	в выборе	4	4
123	еще в	2	4
124	общего с	3	4
125	тех пор	4	4
126	в процессе	5	4
127	в поэзии	5	4
128	которой является	2	4
129	мы видим	2	4
130	ничего общего	3	4
131	в связи	2	4
132	на язык	2	4
133	да и	3	4
134	за пределы	3	4
135	и их	7	4
136	материала и	3	4
137	связанные с	2	4
138	но для	3	4
139	связана с	3	4
140	в книге	2	3
141	конечно в	2	3
142	в полном	2	3
143	отношений между	2	3
144	и наконец	5	3
145	вопроса о	4	3
146	связанных с	2	3
147	слово в	3	3
148	поэтического языка	2	3
149	в руках	2	3
150	смысле слова	2	3
151	языка но	2	3
152	и ее	2	3
153	бы в	2	3
154	в сознании	4	3
155	от этого	2	3
156	и уже	3	3
157	наконец в	2	3
158	во всей	2	3
159	с помощью	2	3
160	нуждается в	2	2
161	о языке	2	2
162	истории литературы	2	2
163	от своего	2	2
164	и при	2	2
165	и этот	2	2
166	случае и	2	2
167	в зависимости	2	2
168	и может	2	2
169	тот же	2	2
170	в которую	2	2
171	произведения как	4	2
172	и эта	5	2
173	только ее	2	2
174	до тех	4	2
175	с г	2	2
176	зависимости от	2	2
177	пути к	2	2
178	превращается в	3	2
179	между собою	2	2
180	в пределах	3	2
181	она является	2	2
182	с историей	2	2
183	ни один	3	2
184	входит в	2	2
185	соответствии с	2	2
186	те же	2	2
187	мог бы	2	2
188	роль в	2	2
189	пор пока	3	2
190	чем же	2	2
191	вопросы связанные	2	2
