N	2gram	Bakhtin_Pr	Poddanst
1	не только	26	17
2	и в	59	14
3	и не	66	12
4	в области	3	11
5	в этом	40	10
6	в отношении	3	10
7	но в	7	9
8	то же	15	9
9	в том	17	9
10	хотя бы	5	8
11	в пределах	13	8
12	в то	15	7
13	только в	15	7
14	же время	10	7
15	но и	22	6
16	было бы	10	6
17	в смысле	4	6
18	в ней	8	6
19	с другой	3	5
20	не в	10	5
21	и о	5	5
22	в которых	2	5
23	отношении к	3	5
24	и пр	3	5
25	может быть	38	5
26	по себе	13	4
27	что в	14	4
28	если бы	12	4
29	на пути	2	4
30	и потому	9	4
31	в своем	12	4
32	том что	15	4
33	мы должны	6	4
34	в котором	6	4
35	в русской	3	4
36	и к	5	4
37	как бы	40	4
38	то что	21	4
39	не может	31	4
40	а в	9	4
41	же в	3	4
42	что мы	2	3
43	и как	10	3
44	но не	13	3
45	тем самым	3	3
46	это не	13	3
47	с точки	21	3
48	сами по	4	3
49	мы не	3	3
50	я и	2	3
51	для того	3	3
52	в себе	9	3
53	точки зрения	36	3
54	потому что	20	3
55	в нем	38	3
56	между тем	5	3
57	могут быть	5	3
58	прежде всего	17	3
59	тот же	4	3
60	с ними	3	3
61	заключается в	3	3
62	для нас	3	2
63	должно быть	4	2
64	не о	3	2
65	да и	3	2
66	что из	3	2
67	в них	5	2
68	в жизни	7	2
69	в мире	10	2
70	одна из	4	2
71	есть не	3	2
72	отношения к	4	2
73	в е	2	2
74	для них	3	2
75	никак не	3	2
76	и это	5	2
77	есть нечто	2	2
78	творчества и	2	2
79	слова но	2	2
80	точек зрения	5	2
81	и тем	2	2
82	и других	8	2
83	в его	44	2
84	с этим	2	2
85	по сравнению	2	2
86	и вот	4	2
87	не менее	3	2
88	говорить о	3	2
89	со стороны	6	2
90	именно в	8	2
91	русский народ	2	2
92	в начале	3	2
93	тем более	2	2
94	все это	12	2
95	в частности	2	2
96	как на	4	2
97	друг другу	3	2
98	начала и	3	2
99	а не	30	2
100	во всей	2	2
101	не было	5	2
102	и есть	6	2
103	например в	5	2
104	и с	10	2
105	во всех	8	2
106	в ее	4	2
107	как раз	9	2
108	есть в	10	2
109	в сфере	4	2
110	того что	4	2
111	из них	8	2
112	не столько	3	2
