N	2gram	Propp_Russ	Tvorches
1	и в	59	56
2	как бы	18	41
3	в его	3	37
4	в то	3	30
5	то же	6	25
6	не только	28	24
7	но в	5	24
8	в году	5	24
9	то есть	3	23
10	и его	2	23
11	и не	6	23
12	а в	16	23
13	как и	19	23
14	и т	13	22
15	в этом	18	22
16	в том	33	21
17	что в	35	21
18	том что	33	19
19	может быть	14	19
20	потому что	15	19
21	у него	2	18
22	то что	10	18
23	что он	2	17
24	все это	12	17
25	т д	12	17
26	и на	14	17
27	таким образом	10	17
28	прежде всего	2	16
29	как в	10	16
30	при этом	11	16
31	не может	6	16
32	но и	20	16
33	в этой	4	15
34	но это	5	15
35	и с	12	15
36	это не	14	14
37	там же	15	13
38	о том	14	13
39	а не	3	13
40	в целом	2	12
41	в котором	2	12
42	все же	7	11
43	отнюдь не	3	11
44	не в	2	10
45	в основном	4	10
46	так и	8	10
47	уже в	2	10
48	представление о	5	10
49	но не	7	10
50	когда он	3	10
51	только в	4	10
52	как будто	6	10
53	в свою	3	9
54	в нем	3	9
55	один из	10	9
56	а затем	5	9
57	и от	2	9
58	в своих	3	9
59	так же	7	8
60	в их	5	8
61	не менее	3	8
62	так как	25	8
63	тогда как	4	8
64	к этому	7	8
65	об этом	11	8
66	еще не	7	8
67	одним из	2	8
68	именно в	3	8
69	хотя и	3	8
70	вместе с	16	8
71	влияние на	3	7
72	своего рода	3	7
73	например в	3	7
74	в дальнейшем	2	7
75	что она	4	7
76	в которой	3	7
77	в этих	3	7
78	не случайно	2	7
79	уже не	9	7
80	года в	2	7
81	его в	9	6
82	приводит к	4	6
83	так что	4	6
84	и все	4	6
85	место в	2	6
86	не столько	3	6
87	все эти	5	6
88	и ее	3	6
89	одна из	12	6
90	и как	2	6
91	с ним	2	6
92	начиная с	4	5
93	ничего не	4	5
94	до конца	5	5
95	но если	2	5
96	и у	5	5
97	но эта	2	5
98	и других	9	5
99	том же	6	5
100	как он	2	5
101	в виде	10	5
102	в образе	3	5
103	в своем	3	5
104	а с	6	5
105	в них	10	5
106	и это	2	5
107	что этот	4	5
108	значит что	2	5
109	что и	8	5
110	мы не	11	5
111	и по	10	5
112	что они	8	5
113	во всей	2	5
114	тот же	2	5
115	показывает что	9	5
116	что это	4	5
117	в россии	4	5
118	с этим	4	5
119	дело не	2	5
120	та же	4	5
121	между тем	9	5
122	и другие	24	5
123	как у	2	5
124	что у	3	5
125	как правило	4	5
126	из них	12	5
127	не было	3	5
128	в таком	5	5
129	перед нами	2	4
130	и потому	3	4
131	и через	2	4
132	не был	3	4
133	он же	4	4
134	только на	4	4
135	в частности	2	4
136	как это	11	4
137	отличие от	4	4
138	того что	6	4
139	что все	2	4
140	в в	3	4
141	к нему	3	4
142	точки зрения	3	4
143	ту же	2	4
144	так в	5	4
145	что на	5	4
146	могут быть	3	4
147	а а	33	4
148	же не	2	4
149	на землю	2	4
150	же как	5	4
151	с ними	6	4
152	мы видим	2	4
153	считает что	2	4
154	считал что	2	4
155	который в	2	4
156	как известно	2	4
157	говорит о	3	4
158	тут же	2	4
159	но эти	3	4
160	в каждом	2	4
161	тем что	7	4
162	в xix	13	4
163	на земле	3	4
164	и наконец	2	4
165	с этой	2	4
166	такой же	3	4
167	его и	2	4
168	не означает	2	4
169	в отличие	4	4
170	и более	3	4
171	далеко не	5	4
172	с собой	4	4
173	этот вопрос	4	4
174	в которых	8	4
175	представляет собой	5	4
176	еще в	6	4
177	к жизни	3	4
178	с точки	3	4
179	говорить о	2	4
180	но он	3	4
181	ее и	2	3
182	его к	3	3
183	на самом	3	3
184	вплоть до	4	3
185	друг друга	3	3
186	в виду	3	3
187	на все	3	3
188	в области	3	3
189	е а	2	3
190	но что	2	3
191	в один	2	3
192	так например	7	3
193	как уже	6	3
194	в него	2	3
195	в свете	5	3
196	только с	2	3
197	к тому	4	3
198	в ней	3	3
199	на себя	4	3
200	по этому	4	3
201	а н	21	3
202	и др	4	3
203	что с	2	3
204	и до	3	3
205	там где	3	3
206	как мы	11	3
207	если в	3	3
