N	2gram	Tiupa_Narr	Stilisti
1	и в	19	42
2	как бы	4	30
3	не только	32	28
4	и т.п	8	25
5	прежде всего	4	22
6	и т.д	7	21
7	хотя бы	4	18
8	то же	4	16
9	но и	23	16
10	и не	20	14
11	не может	10	13
12	может быть	25	13
13	как и	7	12
14	точки зрения	10	11
15	что мы	2	11
16	в себе	8	10
17	и как	5	10
18	отнюдь не	5	10
19	в этом	17	10
20	как мы	3	10
21	в то	3	9
22	все же	7	9
23	то что	11	9
24	при этом	9	9
25	тем самым	6	8
26	ничего не	2	8
27	в ней	3	8
28	с его	6	8
29	никогда не	3	7
30	же время	4	7
31	так и	9	7
32	только в	4	7
33	а не	12	7
34	и на	3	7
35	было бы	4	7
36	и его	5	7
37	и тем	4	7
38	точкой зрения	2	6
39	или иной	5	6
40	когда мы	2	6
41	не в	14	6
42	в области	2	6
43	точку зрения	4	6
44	в нем	4	6
45	в свою	3	6
46	в его	9	6
47	в форме	5	6
48	в этой	5	6
49	того или	2	5
50	независимо от	2	5
51	то есть	19	5
52	не является	8	5
53	самом деле	2	5
54	как это	6	5
55	а с	3	5
56	но все	4	5
57	точек зрения	2	5
58	а в	11	5
59	но в	6	5
60	или иного	2	5
61	те же	4	5
62	и с	4	5
63	уже в	3	5
64	в той	6	5
65	с точки	2	5
66	да и	4	4
67	что это	3	4
68	так же	2	4
69	о своей	2	4
70	ту или	2	4
71	его в	2	4
72	на него	3	4
73	то или	3	4
74	что именно	2	4
75	не что	2	4
76	свою очередь	3	4
77	того что	2	4
78	можно было	2	4
79	один из	3	4
80	и все	2	4
81	к тому	7	4
82	о том	6	4
83	или иную	2	4
84	точка зрения	6	4
85	уже не	5	4
86	не существует	3	4
87	языка и	2	4
88	или иное	2	4
89	той или	4	4
90	было в	2	4
91	в качестве	21	4
92	себя в	5	4
93	можно сказать	5	4
94	сказать что	4	3
95	это не	2	3
96	том что	14	3
97	в будущем	2	3
98	нуждается в	5	3
99	перед нами	4	3
100	и даже	3	3
101	этого слова	2	3
102	роль в	2	3
103	во второй	2	3
104	та же	2	3
105	в том	18	3
106	в частности	14	3
107	еще не	7	3
108	совершенно не	2	3
109	как в	7	3
110	для него	2	3
111	не с	3	3
112	и для	2	3
113	нет и	2	3
114	что у	2	3
115	форма высказывания	2	3
116	высказывания в	6	3
117	зрения на	2	3
118	быть может	2	3
119	если не	4	3
120	между ними	2	3
121	из которых	4	3
122	не будет	3	3
123	из них	3	3
124	хотя и	3	3
125	несмотря на	2	3
126	жизни и	3	3
127	в ее	3	3
128	все эти	2	3
129	высказывания и	3	3
130	связи с	4	3
131	отношения к	2	3
132	между тем	3	3
133	в основе	5	3
134	не мог	4	3
135	что иное	2	2
136	первый взгляд	2	2
137	данного события	2	2
138	все то	2	2
139	и потому	2	2
140	значительной степени	2	2
141	бытия в	3	2
142	мы имеем	2	2
143	из этих	3	2
144	но как	2	2
145	времени и	7	2
146	каждый из	2	2
147	по отношению	7	2
148	иное как	2	2
149	отношение к	2	2
150	к которому	2	2
151	на первый	2	2
152	тем что	3	2
153	человека в	2	2
154	бы не	2	2
155	этом отношении	3	2
156	из двух	3	2
157	не всегда	2	2
158	в значительной	2	2
159	художественного высказывания	2	2
160	что он	6	2
161	по своей	3	2
162	всех его	2	2
163	отношению к	6	2
164	в пределах	2	2
165	в какой	2	2
166	при всем	2	2
167	одной из	4	2
168	в мире	9	2
169	но не	6	2
170	к нему	5	2
171	тому же	5	2
172	зависит от	2	2
173	не есть	3	2
174	однако в	2	2
175	представляет собой	13	2
176	между собой	2	2
177	и он	3	2
178	о чем	2	2
179	не было	2	2
180	между двумя	5	2
181	и когда	2	2
182	здесь не	4	2
183	или даже	2	2
184	или в	2	2
185	в связи	2	2
186	он не	3	2
