N	3gram	Losev_Prob	Myshleni
1	в том что	7	133
2	с точки зрения	3	89
3	для того чтобы	9	78
4	заключается в том	2	51
5	с одной стороны	4	39
6	так же как	2	39
7	с самого начала	2	36
8	то же самое	9	31
9	в этом отношении	2	30
10	можно было бы	4	28
11	в этом случае	6	27
12	с другой стороны	7	26
13	вместе с тем	2	26
14	о том что	16	25
15	на то что	12	25
16	не может быть	5	23
17	в то время	2	22
18	можно сказать что	6	21
19	не только не	4	21
20	то время как	2	20
21	и тем самым	4	19
22	в самом деле	4	19
23	во всяком случае	11	18
24	в этом смысле	8	18
25	до сих пор	6	17
26	одного и того	2	17
27	в связи с	7	17
28	и того же	2	17
29	в данном случае	10	15
30	и то что	9	15
31	подобно тому как	2	14
32	то и другое	3	13
33	это значит что	3	13
34	точно так же	7	13
35	тем не менее	25	12
36	на первый план	3	12
37	таким образом что	2	12
38	как мы уже	2	11
39	только тогда когда	4	11
40	том что в	2	11
41	одной стороны и	2	10
42	в том числе	2	10
43	то что в	4	10
44	том числе и	2	10
45	на самом деле	6	9
46	сама по себе	6	9
47	друг к другу	2	9
48	именно в этом	2	9
49	более или менее	7	9
50	с тем что	2	9
51	сам по себе	7	8
52	мы говорили выше	2	8
53	в этой области	5	8
54	той или иной	5	8
55	то что он	3	8
56	только в том	4	8
57	содержит в себе	7	7
58	о том как	2	7
59	вопрос о том	2	7
60	по этому поводу	5	7
61	ничего общего с	9	6
62	не что иное	5	6
63	и тем же	2	6
64	что иное как	5	6
65	то что мы	11	6
66	того что мы	2	6
67	одним и тем	2	6
68	и в частности	3	6
69	только то что	6	6
70	чем перейти к	2	5
71	в конце концов	11	5
72	в то же	4	5
73	и как бы	2	5
74	прежде чем перейти	2	5
75	и что в	2	5
76	и в этом	5	5
77	мы никогда не	3	5
78	между собой и	2	5
79	так как он	2	5
80	когда мы говорим	2	5
81	не совпадает с	2	5
82	есть прежде всего	3	5
83	сами по себе	5	5
84	как мы увидим	2	5
85	не только в	3	5
86	указывает на то	3	5
87	между знаком и	5	5
88	только потому что	3	5
89	с первого взгляда	2	5
90	потому что оно	2	4
91	есть не что	5	4
92	мы должны сказать	2	4
93	но и в	3	4
94	как это мы	2	4
95	на этот раз	2	4
96	не то что	2	4
97	должны были бы	2	4
98	тем и другим	2	4
99	так и в	2	4
100	не потому что	2	4
101	о чем мы	2	4
102	именно то что	4	4
103	и тем более	2	4
104	и в своей	3	4
105	о которых мы	2	4
106	бы то ни	2	3
107	же самое время	4	3
108	если мы хотим	2	3
109	и в самом	2	3
110	перед нами в	2	3
111	это было бы	2	3
112	связи с этим	2	3
113	и только в	2	3
114	в значительной мере	2	3
115	тех или иных	2	3
116	по самому своему	2	3
117	но и не	2	3
118	как раз и	11	3
119	не имеют ничего	4	3
120	в настоящее время	17	3
121	мы можем говорить	2	3
122	хотя бы и	3	3
123	никак не может	3	3
124	не чем иным	2	3
125	но если мы	4	3
126	того или иного	6	3
127	внимание на то	2	3
128	имеют ничего общего	4	3
129	на том что	3	3
130	чем иным как	2	3
131	в известной мере	2	3
132	дело в том	3	3
133	не имеет никакого	2	3
134	так как они	2	3
135	во всех этих	2	2
136	том что это	2	2
137	что значение слова	2	2
138	и в его	2	2
139	даже если бы	3	2
140	является не просто	2	2
141	со всеми своими	2	2
142	тем самым мы	2	2
143	для обозначения и	2	2
144	ни в каком	7	2
145	в частности в	2	2
146	тем что в	2	2
147	в этих случаях	3	2
148	что может быть	3	2
149	казалось бы что	2	2
150	однако и здесь	2	2
151	в том случае	2	2
152	мы увидим ниже	2	2
153	или хотя бы	2	2
154	тот или иной	3	2
155	более общее чем	2	2
156	мы говорим что	2	2
157	никогда не может	2	2
158	и ничего не	2	2
159	в другом случае	2	2
160	но как раз	2	2
