N	3gram	Vygotskiy_	RusskieA
1	в том что	30	49
2	состоит в том	2	29
3	и т д	6	21
4	в этом случае	2	12
5	вместе с тем	4	11
6	о том что	15	10
7	том что в	2	9
8	в том чтобы	6	9
9	в данном случае	3	8
10	для того чтобы	41	8
11	мы не можем	2	7
12	по этому поводу	4	6
13	не может быть	4	6
14	так же как	3	6
15	к тому что	8	5
16	не что иное	2	4
17	в то время	4	4
18	можно было бы	4	4
19	что иное как	2	4
20	что в этом	6	4
21	в отличие от	3	4
22	мы должны признать	2	3
23	по отношению к	2	3
24	может быть и	2	3
25	с тем что	3	3
26	с точки зрения	5	3
27	и в том	2	3
28	друг к другу	5	3
29	и что в	5	3
30	до сих пор	9	3
31	до тех пор	2	3
32	на то что	25	3
33	тех пор пока	2	3
34	на самом деле	8	2
35	потому что он	3	2
36	можно сказать что	3	2
37	в этом отношении	3	2
38	иметь в виду	3	2
39	по его мнению	4	2
40	не только в	5	2
41	во всех этих	2	2
42	вопрос о том	3	2
43	друг с другом	6	2
44	и в этом	2	2
45	с одной стороны	15	2
46	мы увидим что	7	2
47	совершенно очевидно что	2	2
48	решить вопрос о	2	2
49	и т п	5	2
50	с другой стороны	8	2
51	так как это	6	2
52	том что на	2	2
53	ни одна из	2	2
54	равно как и	2	2
55	мы должны будем	3	2
56	одна из них	2	2
