N	3gram	Losev_Prob	TeoriaLi
1	в том что	7	10
2	в то же	4	8
3	с другой стороны	7	6
4	более или менее	7	6
5	того или иного	6	6
6	так или иначе	7	5
7	в данном случае	10	5
8	для того чтобы	9	5
9	не может быть	5	5
10	и того же	2	4
11	одного и того	2	4
12	тот или иной	3	3
13	с точки зрения	3	3
14	с одной стороны	4	3
15	в этом смысле	8	3
16	в том числе	2	3
17	тем не менее	25	3
18	подобно тому как	2	3
19	той или иной	5	3
20	отношение знака к	4	3
21	можно сказать что	6	3
22	тех или иных	2	3
23	в связи с	7	3
24	бы то ни	2	2
25	не только не	4	2
26	в таком случае	14	2
27	в самом деле	4	2
28	том числе и	2	2
29	и тем самым	4	2
30	и в самом	2	2
31	может быть и	5	2
32	сама по себе	6	2
