N	3gram	Ircho_Kome	Literetu
1	в то же	5	21
2	то же время	5	21
3	в том что	13	21
4	по отношению к	5	12
5	с одной стороны	5	12
6	в отличие от	3	11
7	о том что	6	10
8	так или иначе	4	10
9	в этом отношении	3	10
10	не говоря уже	4	8
11	с другой стороны	6	7
12	говоря уже о	4	6
13	в том числе	4	6
14	к тому же	12	6
15	едва ли не	6	6
16	тем не менее	2	5
17	в соответствии с	2	5
18	в связи с	3	5
19	бы то ни	4	4
20	то ни было	4	4
21	и т п	7	3
22	во всяком случае	4	3
23	то же самое	2	3
24	а то и	3	3
25	на то что	2	3
26	речь идет о	5	3
27	в одном из	4	3
28	в первой половине	2	2
29	для того чтобы	3	2
30	за то что	4	2
31	во второй половине	3	2
32	чуть ли не	2	2
33	к тому что	3	2
34	но и в	2	2
35	можно было бы	3	2
36	вместе с тем	4	2
37	в самом начале	3	2
