N	3gram	Losev_Vesc	Vladivir
1	в том что	9	29
2	о том что	4	22
3	тем не менее	11	18
4	и то что	5	14
5	в то время	4	13
6	дело в том	4	13
7	во всяком случае	2	12
8	более или менее	4	11
9	содержит в себе	11	11
10	в конце концов	2	11
11	в то же	5	10
12	с точки зрения	6	10
13	не может быть	22	10
14	вместе с тем	3	10
15	как раз и	2	9
16	то же время	4	9
17	то что он	2	9
18	в этом смысле	2	9
19	на то что	7	8
20	это значит что	25	7
21	в свое время	2	7
22	том что он	2	6
23	в данном случае	2	6
24	никакого отношения к	2	6
25	с другой стороны	3	6
26	и в этом	2	6
27	так или иначе	5	6
28	само по себе	4	6
29	бы то ни	12	5
30	то время как	4	5
31	но даже и	2	5
32	и в то	3	5
33	не только в	5	5
34	по крайней мере	10	4
35	сам по себе	4	4
36	можно сказать что	3	4
37	вовсе не есть	6	4
38	не что иное	12	4
39	в этом отношении	2	4
40	можно было бы	3	4
41	заключается в том	3	4
42	с одной стороны	3	4
43	для того чтобы	2	4
44	что иное как	12	4
45	и т д	36	4
46	то это значит	3	4
47	в том чтобы	2	4
48	ни в каком	6	3
49	и больше ничего	12	3
50	даже больше того	6	3
51	так что в	3	3
52	не имеет никакого	2	3
53	только то что	3	3
54	в самом деле	7	3
55	а не к	2	3
56	и в частности	2	3
57	не только не	4	3
58	к тому что	2	3
59	хотя бы и	2	3
60	и в смысле	2	3
61	в последние годы	2	3
62	в свою очередь	5	3
63	свидетельствует о том	3	3
64	но еще и	3	2
65	а не только	2	2
66	и то же	5	2
67	не говорит о	2	2
68	и не в	3	2
69	не было ни	2	2
70	имеет никакого отношения	2	2
71	или по крайней	2	2
72	в подлинном смысле	2	2
73	то что мы	3	2
74	так же как	2	2
75	но то что	3	2
76	есть прежде всего	4	2
77	и не есть	2	2
78	нельзя сказать что	2	2
79	даже и не	2	2
80	не может не	3	2
81	одно и то	5	2
82	как бы его	2	2
83	а так как	2	2
84	а следовательно и	2	2
85	и тем не	5	2
86	что это есть	3	2
87	есть не что	8	2
88	то что у	2	2
89	то ни было	12	2
90	это и есть	4	2
91	но что же	2	2
