N	2gram	Vinokur_St	EvropaiC
1	таким образом	16	34
2	в том	56	31
3	и в	61	24
4	том что	49	20
5	все эти	7	19
6	не может	10	18
7	то что	27	18
8	может быть	16	17
9	до сих	13	15
10	все же	12	15
11	сих пор	12	15
12	точки зрения	16	14
13	в этом	37	13
14	все это	13	13
15	в своем	8	12
16	с этим	6	12
17	самом деле	14	12
18	между тем	7	12
19	по отношению	3	11
20	но и	28	11
21	отношению к	3	11
22	не только	36	10
23	так и	15	10
24	во всех	8	10
25	как и	11	10
26	культуры в	3	10
27	как бы	8	10
28	в результате	5	9
29	и не	23	9
30	не в	15	9
31	что в	41	9
32	и все	3	9
33	на то	5	9
34	того же	4	9
35	потому что	13	9
36	при этом	4	9
37	и что	8	9
38	так же	7	8
39	из этих	7	8
40	или менее	2	8
41	если бы	11	8
42	чем у	2	8
43	для того	15	8
44	к тому	9	8
45	более или	2	8
46	в самом	14	8
47	а между	2	8
48	того чтобы	15	8
49	с точки	10	8
50	ясно что	10	8
51	на самом	8	7
52	для этого	2	7
53	о которых	3	7
54	в сознании	2	7
55	так как	7	7
56	по своей	2	7
57	что он	23	7
58	того что	14	7
59	о котором	2	7
60	не менее	8	7
61	о том	30	7
62	что и	8	7
63	в этой	13	7
64	по существу	3	7
65	что при	3	7
66	вместе с	5	7
67	отличается от	2	6
68	только в	11	6
69	еще не	4	6
70	так что	8	6
71	что касается	4	6
72	в то	10	6
73	должна быть	3	6
74	и для	4	6
75	с другой	11	6
76	в общем	2	6
77	и на	7	6
78	несмотря на	4	6
79	что с	4	6
80	при чем	6	6
81	как на	10	6
82	тому же	2	6
83	и от	2	5
84	его в	4	5
85	но все	9	5
86	в себе	3	5
87	к этому	4	5
88	в которой	13	5
89	как к	3	5
90	лишь в	3	5
91	на все	2	5
92	и их	3	5
93	из них	11	5
94	что это	5	5
95	так или	3	5
96	по своему	2	5
97	у него	3	5
98	что все	3	5
99	но в	16	5
100	столь же	5	5
101	именно в	8	5
102	или иначе	3	5
103	и без	4	5
104	а потому	2	5
105	и с	6	5
106	и к	5	5
107	другой стороны	9	5
108	в целом	5	5
109	в его	19	5
110	как будто	5	5
111	в пользу	5	5
112	его собственной	3	5
113	быть и	2	5
114	никогда не	7	4
115	и то	6	4
116	тот факт	5	4
117	в такой	2	4
118	не могут	2	4
119	из того	2	4
120	об эволюции	2	4
121	что эта	5	4
122	всех этих	2	4
123	хотя бы	8	4
124	то ни	2	4
125	тем не	4	4
126	в конце	5	4
127	отношение к	3	4
128	и у	2	4
129	целый ряд	3	4
130	конце концов	2	4
131	факт что	6	4
132	то же	7	4
133	в их	3	4
134	том же	3	4
135	в области	16	4
136	а с	6	4
137	одним из	2	4
138	в виде	3	4
139	совершенно не	7	4
140	в течение	7	4
141	что для	4	4
142	с тем	3	4
143	не так	2	4
144	этом случае	3	4
145	и сейчас	6	4
146	ни один	2	4
147	на вопрос	7	4
148	что мы	5	4
149	всегда будет	2	4
150	связи с	3	4
151	что как	3	4
152	этой области	5	4
153	в таком	4	4
154	он не	11	4
155	хотя и	4	4
156	даже в	5	3
157	данном случае	7	3
158	представление о	5	3
159	и вообще	5	3
160	вопрос о	9	3
161	тем самым	2	3
162	при помощи	4	3
163	это не	8	3
164	и потому	3	3
165	не подлежит	2	3
166	и до	2	3
167	гораздо больше	2	3
168	в начале	5	3
169	тем более	4	3
170	в настоящее	2	3
171	в тех	5	3
172	бы в	2	3
173	которые не	3	3
174	настоящее время	2	3
175	с этой	5	3
176	в этих	5	3
177	конечно не	2	3
178	не надо	2	3
179	у нас	12	3
180	сомнению что	2	3
181	прежде всего	11	3
182	с одной	3	3
183	как известно	2	3
184	что только	2	3
185	одно из	3	3
186	но не	5	3
187	и это	4	3
188	в данном	16	3
189	а в	18	3
190	бы то	2	3
191	на почве	2	3
192	в нем	9	3
193	в ней	9	3
194	что оно	4	3
195	для нас	7	3
196	в сторону	2	3
197	может не	2	3
198	то очевидно	2	3
199	можно назвать	3	3
200	должны быть	4	3
201	было бы	21	3
202	и по	6	3
203	ничего общего	3	3
204	в истории	5	3
205	же как	5	3
206	заключается в	5	3
207	тот же	2	3
208	чем в	3	3
209	с которыми	3	2
210	очень мало	4	2
211	то в	3	2
212	представляет собою	3	2
213	в процессе	3	2
214	из этой	2	2
215	а к	2	2
216	есть только	2	2
217	не очень	2	2
218	не потому	3	2
219	в свет	5	2
220	то время	2	2
221	свои силы	2	2
222	что она	5	2
223	при таком	2	2
224	от которого	2	2
225	то есть	2	2
226	в другом	5	2
227	из нее	3	2
228	в отдельных	2	2
229	но если	5	2
230	борьбы с	3	2
231	на него	3	2
232	для себя	3	2
233	должен быть	3	2
234	что до	3	2
235	доказать что	2	2
236	зависимости от	2	2
237	этих двух	4	2
238	в виду	6	2
239	не было	7	2
240	он должен	2	2
241	из двух	3	2
242	в частности	6	2
243	по его	5	2
244	что они	9	2
245	точку зрения	3	2
246	такой же	6	2
247	же касается	3	2
248	никто не	4	2
249	не знает	2	2
250	для него	10	2
251	на нее	3	2
252	есть в	2	2
253	ни для	2	2
254	смотреть на	2	2
255	и так	3	2
256	в эту	3	2
257	не имеет	5	2
258	общего с	3	2
259	также и	10	2
260	что у	8	2
261	тому что	8	2
262	к нему	2	2
263	она не	3	2
264	они не	2	2
265	гораздо более	5	2
266	в котором	11	2
267	если это	3	2
268	их в	2	2
269	давно уже	3	2
270	во втором	5	2
271	в своих	2	2
272	этот вопрос	6	2
273	о них	3	2
274	что на	3	2
275	в которых	5	2
276	одной стороны	2	2
277	но для	3	2
278	но на	2	2
279	между прочим	10	2
280	и те	4	2
281	по этому	5	2
282	в них	2	2
283	только не	2	2
284	можно ли	5	2
285	что же	6	2
286	всяком случае	8	2
287	что оба	2	2
288	жизни и	6	2
289	во всяком	8	2
290	и уже	3	2
291	во внимание	2	2
292	говорить о	3	2
293	и его	11	2
294	в сущности	2	2
295	же время	5	2
296	и только	3	2
297	и сам	4	2
298	из таких	2	2
299	и более	4	2
300	этого слова	2	2
301	о которой	3	2
302	но с	7	2
303	которую он	3	2
304	той же	5	2
305	все в	2	2
306	я не	13	2
307	вовсе не	24	2
308	в основе	4	2
309	почти все	2	2
310	тем же	3	2
