N	2gram	Propp_Isto	TeoriaLi
1	в качестве	8	33
2	не только	28	24
3	и в	40	24
4	в частности	3	23
5	может быть	37	22
6	в том	12	20
7	при этом	6	20
8	и не	19	17
9	а в	15	15
10	но и	21	14
11	так и	13	14
12	а не	18	14
13	в себе	6	14
14	в рамках	2	13
15	но не	7	13
16	представляет собой	7	13
17	в этом	13	12
18	то же	21	12
19	но в	13	12
20	в его	10	12
21	том что	11	11
22	своего рода	2	11
23	и его	5	11
24	по отношению	6	10
25	отношению к	6	10
26	как это	6	10
27	что в	19	10
28	не в	11	9
29	с другой	8	9
30	в то	4	9
31	только в	16	9
32	не может	19	8
33	по своей	2	8
34	как бы	6	8
35	в своей	2	8
36	в своем	5	7
37	а также	2	7
38	мы имеем	25	7
39	себя в	2	7
40	в области	2	7
41	отличие от	3	7
42	в отличие	3	7
43	однако в	2	7
44	в нем	8	7
45	тем самым	2	6
46	другой стороны	7	6
47	в конечном	2	6
48	со стороны	3	6
49	не менее	7	6
50	еще не	14	6
51	то что	17	6
52	или менее	5	6
53	как и	5	6
54	более или	5	6
55	с другими	2	6
56	в русской	7	6
57	уже не	3	6
58	приводит к	3	6
59	между ними	2	6
60	в ее	2	6
61	в основе	4	6
62	как в	7	5
63	как правило	4	5
64	ни в	2	5
65	в виду	2	5
66	и тем	2	5
67	в пределах	4	5
68	для него	2	5
69	между тем	2	5
70	могут быть	5	5
71	того чтобы	3	5
72	того что	6	5
73	он не	10	5
74	в себя	2	5
75	никогда не	25	4
76	сказать что	7	4
77	его в	15	4
78	это не	8	4
79	так в	7	4
80	и ее	3	4
81	в форме	3	4
82	в другом	6	4
83	в силу	7	4
84	в их	6	4
85	в этих	17	4
86	что он	32	4
87	по пути	2	4
88	к тому	6	4
89	а только	3	4
90	слова в	2	4
91	в целом	3	4
92	и что	14	4
93	или даже	3	4
94	не на	2	4
95	с ее	2	4
96	отношения к	2	4
97	не знает	7	4
98	но он	5	4
99	даже в	5	3
100	и то	3	3
101	перед нами	5	3
102	и потому	3	3
103	во всех	3	3
104	из этих	2	3
105	одной стороны	7	3
106	в которой	2	3
107	не все	5	3
108	и для	5	3
109	в иной	9	3
110	тем не	7	3
111	и как	3	3
112	если бы	8	3
113	к которому	5	3
114	роль в	3	3
115	или в	6	3
116	он должен	3	3
117	подобно тому	3	3
118	одним из	2	3
119	а именно	5	3
120	и вот	2	3
121	ни к	3	3
122	была бы	2	3
123	никто не	3	3
124	между собой	4	3
125	с одной	8	3
126	и др	11	3
127	а с	4	3
128	не с	3	3
129	в жизни	2	3
130	столь же	2	3
131	их в	7	3
132	но их	2	3
133	именно в	5	3
134	потому что	12	3
135	тому как	3	3
136	имеем в	4	3
137	прежде всего	15	3
138	отнюдь не	2	3
139	мог бы	3	3
140	все эти	6	3
141	и по	4	3
142	связи с	10	3
143	в связи	7	3
144	таким образом	13	3
145	во всей	2	3
146	например в	7	3
147	в этой	9	3
148	в одном	8	3
149	как раз	2	3
150	вовсе не	3	3
151	вслед за	7	3
152	еще и	2	2
153	в каком	2	2
154	чтобы не	3	2
155	ключ к	5	2
156	но она	2	2
157	могла бы	3	2
158	не могут	3	2
159	право на	5	2
160	для всех	2	2
161	восходит к	6	2
162	так же	18	2
163	но как	2	2
164	таких случаях	4	2
165	дело не	8	2
166	не всегда	9	2
167	дело в	3	2
168	что она	10	2
169	это было	2	2
170	как уже	2	2
171	в глаза	2	2
172	и одной	2	2
173	об этом	11	2
174	и даже	4	2
175	не сами	2	2
176	и здесь	15	2
177	превращается в	4	2
178	это делает	2	2
179	это тоже	6	2
180	ни было	2	2
181	может оказаться	3	2
182	к своему	3	2
183	только на	2	2
184	и другие	7	2
185	вследствие этого	2	2
186	у него	5	2
187	это может	2	2
188	самом деле	2	2
189	ведет к	2	2
190	говорит в	2	2
191	на вопрос	4	2
192	вместе с	13	2
193	в какой	4	2
194	на котором	5	2
195	здесь мы	9	2
196	одной из	6	2
197	к нему	3	2
198	в сказании	2	2
199	тот кто	3	2
200	а для	2	2
201	и это	2	2
202	ее в	7	2
203	о том	12	2
204	что такое	3	2
205	могли бы	3	2
206	не вполне	3	2
207	если мы	4	2
208	должен быть	3	2
209	и на	6	2
210	вступает в	2	2
211	на себя	2	2
212	соответствии с	2	2
213	на этом	3	2
214	к чему	4	2
215	из которых	3	2
216	всякий раз	2	2
217	он и	3	2
218	один из	10	2
219	в них	2	2
220	по себе	4	2
221	здесь не	5	2
222	к жизни	2	2
223	мы в	4	2
224	что и	9	2
225	а затем	4	2
226	с ними	2	2
227	то ни	2	2
228	себя и	2	2
229	не просто	5	2
230	все это	6	2
231	только о	2	2
232	что они	13	2
233	как будто	7	2
234	в большинстве	4	2
235	бы то	2	2
236	который в	2	2
237	я не	5	2
238	xix века	2	2
239	на основе	6	2
240	чем это	5	2
241	в системе	2	2
