N	2gram	Trubetskoy	Psycholo
1	то что	7	193
2	и в	26	190
3	в том	11	163
4	что в	9	123
5	потому что	7	114
6	том что	7	113
7	и что	4	108
8	может быть	10	107
9	таким образом	22	102
10	в этом	15	100
11	то есть	4	97
12	в самом	4	82
13	как бы	12	80
14	для того	5	78
15	того чтобы	5	78
16	что он	4	76
17	не только	10	75
18	на то	2	73
19	и не	8	73
20	точки зрения	13	69
21	не может	4	68
22	так как	9	63
23	так же	5	63
24	если бы	3	55
25	то же	4	54
26	о том	6	54
27	при этом	3	52
28	что и	6	50
29	а не	5	50
30	что это	3	49
31	только в	4	46
32	сказать что	2	46
33	к тому	6	45
34	не в	2	45
35	в этой	4	43
36	ясно что	3	43
37	никогда не	5	42
38	и все	2	42
39	вместе с	15	41
40	но и	9	40
41	того что	3	39
42	же самое	2	38
43	и это	2	37
44	и как	3	36
45	с тем	18	35
46	и если	3	34
47	как на	8	34
48	что все	4	33
49	когда он	3	33
50	все же	6	33
51	все это	6	32
52	в себе	6	32
53	в его	5	31
54	он не	4	31
55	с одной	7	29
56	и для	5	29
57	с точки	6	29
58	одной стороны	7	29
59	в нем	4	29
60	что мы	2	28
61	мы можем	2	28
62	с другой	8	27
63	а в	4	27
64	и на	2	27
65	так что	3	26
66	и здесь	2	25
67	только что	2	25
68	жизни и	2	25
69	до сих	5	24
70	в своем	3	23
71	сих пор	5	23
72	для этого	2	23
73	целый ряд	4	23
74	из этого	2	23
75	что оно	4	23
76	один из	2	23
77	и даже	3	22
78	между тем	2	22
79	из них	7	22
80	в конце	6	21
81	в котором	4	21
82	в которых	4	21
83	и только	4	21
84	все эти	6	20
85	в то	4	20
86	тот же	2	20
87	несмотря на	6	20
88	мы имеем	2	20
89	мы должны	6	19
90	в одном	3	19
91	но в	7	18
92	но не	8	18
93	в которой	3	18
94	с этой	3	18
95	вслед за	2	18
96	в виду	2	17
97	только не	2	17
98	во всяком	6	17
99	из этих	10	17
100	и о	3	17
101	так и	6	16
102	самого начала	2	16
103	не имеет	5	16
104	и к	5	16
105	из которых	4	16
106	же как	3	16
107	к этому	3	16
108	с самого	3	16
109	в таком	3	16
110	и потому	6	15
111	еще не	2	15
112	не могут	2	15
113	далеко не	4	15
114	что именно	2	15
115	в них	2	15
116	во всех	2	15
117	в результате	3	15
118	для него	3	15
119	о котором	2	15
120	заключает в	2	14
121	хотя бы	3	14
122	главным образом	8	14
123	по существу	2	14
124	прежде всего	2	14
125	в области	9	14
126	при таком	2	14
127	этом отношении	2	14
128	к которым	2	14
129	те же	2	14
130	всяком случае	6	14
131	должен был	4	13
132	а с	7	13
133	именно в	2	13
134	но если	2	12
135	состоит в	2	12
136	того же	6	12
137	в этих	4	12
138	в самой	2	12
139	конце концов	3	12
140	в свою	2	12
141	не менее	3	12
142	и другие	3	12
143	этой точки	2	12
144	тогда когда	2	12
145	что эти	3	12
146	и с	10	12
147	и из	2	11
148	так например	2	11
149	и сейчас	2	11
150	по сравнению	2	11
151	утверждать что	2	11
152	ли это	2	11
153	сравнению с	2	11
154	на все	2	11
155	мы видели	2	11
156	с его	2	11
157	на этот	4	11
158	уже в	2	11
159	не было	2	11
160	конечно не	2	11
161	отличается от	2	10
162	и у	8	10
163	и от	4	10
164	тому же	5	10
165	оказывается что	3	9
166	в силу	5	9
167	и по	4	9
168	мысль о	2	9
169	и наконец	2	9
170	но все	7	9
171	и другой	2	9
172	в виде	4	9
173	по своему	2	9
174	точно так	3	9
175	можно сказать	3	9
176	не к	2	9
177	в процессе	2	8
178	и таким	3	8
179	из всех	3	8
180	большей частью	3	8
181	из которого	3	8
182	представление о	6	8
183	в общем	8	8
184	с другом	5	8
185	он в	2	8
186	во время	4	8
187	относится к	2	8
188	больше чем	2	8
189	уже давно	2	8
190	к нему	7	8
191	друг с	5	8
192	не как	2	7
193	одно из	2	7
194	для всех	2	7
195	ее с	2	7
196	связи с	9	7
197	есть как	2	7
198	все что	2	7
199	представляет собой	3	7
200	и заставляет	2	7
201	и при	3	7
202	и действительно	2	7
203	и те	3	7
204	в качестве	3	7
205	признать что	2	7
206	но при	2	7
207	к ним	3	7
208	со всеми	2	7
209	в течение	4	7
210	к жизни	5	7
211	взгляд на	2	7
212	в отношении	6	6
213	отношение к	5	6
214	людей и	2	6
215	смотреть на	2	6
216	не могла	2	6
217	тем не	3	6
218	из него	2	6
219	на нее	3	6
220	или менее	5	6
221	у всех	2	6
222	которые в	2	6
223	не потому	2	6
224	ничем не	4	6
225	тех пор	2	6
226	и вместе	4	6
227	образом в	5	6
228	к другу	2	6
229	более или	5	6
230	уже не	3	6
231	к его	2	6
232	приводит к	2	6
233	в русском	2	6
234	либо в	2	6
235	по тому	2	5
236	у них	3	5
237	надо было	2	5
238	в других	3	5
239	связь с	2	5
240	одновременно и	2	5
241	если в	3	5
242	и является	2	5
243	только для	2	5
244	том виде	2	5
245	бы то	2	5
246	тем и	2	5
247	к которому	2	5
248	его не	2	5
249	и больше	2	5
250	из этой	2	5
251	то или	2	5
252	силы и	2	5
253	в смысле	4	5
254	в эту	2	5
255	так чтобы	2	5
256	и тогда	4	5
257	вплоть до	2	4
258	с именем	2	4
259	уже с	3	4
260	но по	3	4
261	должна была	2	4
262	всех других	2	4
263	к сожалению	3	4
264	благодаря этому	2	4
265	в глазах	2	4
266	не с	2	4
267	так называемой	2	4
268	из себя	2	4
269	если не	2	4
270	или иное	2	4
271	без остатка	2	4
272	его от	2	4
273	подойти к	3	4
274	больше не	2	4
275	в связи	3	4
276	одной из	5	4
277	с ней	3	4
278	к концу	3	4
279	образом если	2	4
280	в мире	5	4
281	именно из	2	4
282	можно назвать	2	4
283	же время	2	4
284	ничего общего	2	4
285	самых древних	2	3
286	одним из	2	3
287	ни было	2	3
288	общего с	2	3
289	тем чтобы	5	3
290	а также	2	3
291	и нет	3	3
292	по своим	2	3
293	превращается в	2	3
294	очень много	2	3
295	ни один	2	3
296	но с	3	3
297	сознании и	2	3
298	по учению	3	3
299	связано с	2	3
300	и проч	2	3
301	в разных	2	3
302	случае не	3	3
303	с другими	4	3
304	связана с	2	3
305	героев и	2	3
306	отношению к	3	3
307	не могло	2	3
308	или иначе	3	3
309	быть и	2	3
310	но когда	2	3
311	чем все	2	3
312	то ни	2	3
313	основано на	2	2
314	очень мало	4	2
315	должны признать	2	2
316	должно было	2	2
317	на пути	2	2
318	отличаются от	2	2
319	нами и	2	2
320	требует от	2	2
321	с того	2	2
322	к своим	4	2
323	но вместе	2	2
324	то с	3	2
325	значительной мере	2	2
326	можно только	2	2
327	в значительной	3	2
328	иной раз	2	2
329	по крайней	5	2
330	так называемые	3	2
331	с целью	2	2
332	принято называть	2	2
333	когда человек	2	2
334	не вполне	3	2
335	за собой	3	2
336	или иной	2	2
337	когда же	2	2
338	крайней мере	5	2
339	ни у	2	2
340	по своей	2	2
341	и т.д	6	2
342	не всегда	2	2
343	русской интеллигенции	2	2
344	в пользу	2	2
345	ко всему	2	2
346	грань между	2	2
347	между этими	2	2
348	всегда и	3	2
349	наконец в	2	2
350	различия между	2	2
351	той или	2	2
352	некоторые из	2	2
353	в россии	2	2
354	от них	2	2
355	в начале	2	2
356	из своих	2	2
357	этих частей	2	2
358	виде в	2	2
359	как о	3	2
360	с которого	2	2
361	говорили о	2	2
362	этими двумя	2	2
363	для каждого	2	2
364	нет вовсе	2	2
365	они в	2	2
366	влечет за	2	2
367	так или	3	2
368	оно является	2	2
369	учение о	4	2
370	и сами	2	2
