N	3gram	Medvedev_F	VeschiIm
1	и т д	11	38
2	не может быть	11	24
3	бы то ни	4	12
4	тем не менее	2	11
5	в том что	3	9
6	т е в	2	7
7	в самом деле	5	7
8	сама по себе	2	7
9	с точки зрения	17	6
10	в то же	13	5
11	в свою очередь	6	5
12	не только не	2	4
13	более или менее	7	4
14	сам по себе	2	4
15	то же время	13	4
16	мы не можем	3	3
17	в отрыве от	2	3
18	вместе с тем	5	3
19	с одной стороны	5	3
20	с другой стороны	4	3
21	сами по себе	4	3
22	и в то	4	3
23	и не в	2	3
24	как бы ни	3	2
25	как раз и	4	2
26	во всяком случае	6	2
27	в применении к	4	2
28	хотя бы в	4	2
29	но все же	2	2
30	для того чтобы	3	2
31	в этом отношении	7	2
32	к тому что	3	2
33	в связи с	9	2
34	в конце концов	2	2
35	в данном случае	2	2
36	в этом смысле	3	2
37	и в этом	6	2
38	но даже и	2	2
39	и в частности	2	2
40	главным образом на	2	2
41	в том чтобы	3	2
