N	3gram	Bakhtin_Pr	Komedia
1	в том что	6	29
2	к тому же	2	21
3	до сих пор	9	16
4	то же время	13	16
5	в то же	13	16
6	о том что	2	13
7	в самом деле	6	13
8	в то время	2	11
9	и т п	10	11
10	по отношению к	12	9
11	то время как	2	9
12	с другой стороны	6	8
13	то ни было	2	7
14	бы то ни	3	7
15	в конце концов	7	7
16	во всяком случае	4	7
17	с точки зрения	21	6
18	в отличие от	4	6
19	и т д	4	5
20	в этом отношении	3	5
21	том что он	5	5
22	тем не менее	2	5
23	т е в	3	4
24	именно потому что	2	4
25	можно было бы	3	4
26	в одном из	2	4
27	но все же	3	4
28	в той же	3	3
29	более или менее	4	3
30	хотя и не	3	3
31	друг с другом	3	3
32	на то что	2	3
33	ставит нас перед	2	2
34	но при этом	2	2
35	у него в	2	2
36	в большинстве случаев	10	2
37	подобно тому как	3	2
38	ни в одном	3	2
39	в зависимости от	5	2
40	так и в	2	2
41	не только в	2	2
42	в отношении к	3	2
43	этой точки зрения	2	2
44	в этом смысле	12	2
45	как и в	3	2
46	друг за другом	2	2
47	и в то	2	2
48	таким образом и	2	2
