N	2gram	Bakhtin_sl	VelikijI
1	и не	32	20
2	и в	69	16
3	так как	7	9
4	то что	2	9
5	еще не	9	8
6	в истории	6	8
7	и потому	9	7
8	что они	2	7
9	а не	29	7
10	не есть	2	6
11	человека и	3	6
12	как бы	16	5
13	но и	37	5
14	все это	14	5
15	хотя и	4	5
16	того что	4	5
17	что все	2	4
18	и все	9	4
19	как и	8	4
20	в котором	2	4
21	потому что	2	4
22	в нем	44	4
23	в ней	7	4
24	в его	19	4
25	говорить о	2	4
26	в этом	21	4
27	что он	2	4
28	и есть	2	4
29	так и	22	4
30	никогда не	9	3
31	что в	3	3
32	в том	7	3
33	и для	7	3
34	от этого	2	3
35	тому что	2	3
36	но в	13	3
37	к тому	3	3
38	ни в	4	3
39	они в	2	3
40	но это	3	3
41	бы и	6	3
42	должно быть	3	3
43	оно не	12	3
44	хотя бы	6	3
45	в своей	8	3
46	во всех	25	3
47	их от	2	3
48	в них	11	3
49	жизни и	5	3
50	что и	2	3
51	не было	4	3
52	лишь в	6	3
53	и что	2	3
54	не в	14	3
55	все эти	15	3
56	в этих	8	3
57	должна быть	3	3
58	в чем	2	3
59	с его	8	3
60	и то	2	2
61	да и	2	2
62	одна из	6	2
63	но не	7	2
64	в прошлом	2	2
65	это не	8	2
66	не только	37	2
67	не могут	7	2
68	а в	10	2
69	том что	6	2
70	на том	2	2
71	но мы	2	2
72	и во	3	2
73	понимает и	2	2
74	а между	2	2
75	от него	5	2
76	во всяком	9	2
77	уже не	5	2
78	могут быть	25	2
79	в духе	3	2
80	один из	9	2
81	т д	7	2
82	для них	2	2
83	мира в	2	2
84	мы не	4	2
85	конечно не	7	2
86	можно было	2	2
87	только в	9	2
88	и сам	4	2
89	в форме	3	2
90	его и	5	2
91	для нас	7	2
92	в себя	3	2
93	людей и	2	2
94	прежде всего	14	2
95	и т	56	2
96	с ним	12	2
97	его не	4	2
98	между тем	5	2
99	мы и	2	2
100	а с	2	2
101	для него	8	2
102	не с	5	2
