N	3gram	Potebnia_M	slovoVRo
1	и т п	7	72
2	не может быть	7	19
3	в то же	8	18
4	то же время	8	18
5	с точки зрения	2	15
6	в большинстве случаев	2	11
7	с одной стороны	4	11
8	и т д	5	10
9	более или менее	6	9
10	в этом случае	2	9
11	во всяком случае	3	8
12	так и в	2	6
13	с другой стороны	4	6
14	в том что	22	5
15	в этом отношении	2	5
16	не только в	4	5
17	по отношению к	10	5
18	для того чтобы	5	4
19	до сих пор	4	4
20	можно сказать что	3	4
21	в свою очередь	6	4
22	лишь тогда когда	4	4
23	не могут быть	3	4
24	одно и то	7	3
25	к тому что	3	3
26	и то же	7	3
27	как и в	3	3
28	в собственном смысле	2	3
29	со всех сторон	3	3
30	может быть только	4	3
31	в данном случае	3	3
32	сама по себе	3	3
33	мы не знаем	3	2
34	а не как	2	2
35	не только не	4	2
36	мы не можем	5	2
37	между тем как	4	2
38	в первом случае	2	2
39	то же слово	2	2
40	тем и другим	2	2
41	о том что	5	2
42	в то время	7	2
43	то есть от	2	2
44	и в том	3	2
45	как бы ни	4	2
46	рано или поздно	2	2
47	но и в	4	2
48	то время как	3	2
49	то есть не	4	2
50	тем не менее	7	2
51	то есть к	3	2
52	а между тем	6	2
