N	3gram	Tiupa_Lite	TeoriaLi
1	в том что	15	10
2	по отношению к	4	10
3	не сводится к	3	9
4	в то же	12	8
5	я в мире	3	8
6	то же время	12	8
7	в отличие от	6	7
8	в конечном счете	8	6
9	состоит в том	8	6
10	с другой стороны	5	6
11	так или иначе	8	5
12	в данном случае	6	5
13	не может быть	5	5
14	в силу своей	3	4
15	факторов художественного впечатления	2	4
16	с точки зрения	4	3
17	с одной стороны	8	3
18	в виду не	2	3
19	читателя зрителя слушателя	4	3
20	в том числе	2	3
21	тем не менее	4	3
22	подобно тому как	4	3
23	в своем составе	2	3
24	в знаковом материале	2	3
25	в равной степени	2	3
26	тех или иных	2	3
27	в связи с	4	3
28	несет в себе	2	3
29	в свою очередь	2	3
30	субъект художественной деятельности	3	3
31	ту или иную	2	2
32	совокупность факторов художественного	2	2
33	в русской литературе	5	2
34	на воспринимающее сознание	2	2
35	начинает восприниматься как	2	2
36	художественного мышления и	2	2
37	с легкой руки	2	2
38	новой парадигмы художественности	2	2
39	этой точки зрения	3	2
40	а с другой	2	2
41	мы имеем дело	2	2
42	с этой точки	3	2
43	в соответствии с	2	2
44	и тем самым	2	2
45	художественности состоит в	2	2
46	деятельностью направленной на	2	2
47	художественная деятельность мыслится	3	2
48	определяющим отношением художественности	2	2
49	как совокупность факторов	2	2
50	не могло быть	2	2
