N	2gram	Bakhtin_Pr	Literetu
1	а не	19	50
2	и не	41	47
3	не только	14	46
4	и в	83	44
5	может быть	23	43
6	при этом	6	41
7	но и	16	41
8	в том	22	39
9	в этом	24	38
10	своего рода	7	37
11	том что	9	32
12	то что	14	29
13	в мире	8	28
14	в году	2	26
15	то же	10	26
16	как и	13	23
17	в то	8	23
18	не в	10	22
19	так и	9	22
20	не может	18	22
21	я и	2	21
22	же время	8	21
23	в себе	10	20
24	и т.п	42	20
25	прежде всего	20	19
26	как бы	27	18
27	то есть	86	17
28	точки зрения	17	17
29	в его	15	17
30	с другой	4	17
31	в этой	3	16
32	в жизни	14	16
33	тем самым	2	15
34	не менее	4	15
35	в целом	3	15
36	я не	6	15
37	только в	10	15
38	по отношению	6	14
39	что он	6	14
40	и даже	5	14
41	в своем	2	13
42	как это	2	13
43	но не	9	13
44	уже не	5	13
45	и его	13	13
46	к себе	8	12
47	в своей	5	12
48	а также	4	12
49	еще не	10	12
50	одним из	6	12
51	отношению к	5	12
52	о том	3	12
53	никогда не	10	11
54	это не	10	11
55	с его	4	11
56	как в	10	11
57	а в	4	11
58	в основе	6	11
59	вместе с	5	11
60	даже в	3	10
61	в области	6	10
62	что в	5	10
63	в ее	3	10
64	жизни в	4	10
65	из них	7	10
66	и на	27	10
67	потому что	9	10
68	жизни и	13	10
69	к тому	2	9
70	один из	7	9
71	в начале	2	9
72	что я	2	9
73	и т.д	5	9
74	вплоть до	5	8
75	одна из	9	8
76	в конце	5	8
77	все же	3	8
78	по существу	7	8
79	xix века	2	8
80	но в	12	8
81	того же	5	8
82	уже в	3	8
83	на себя	3	8
84	слова и	5	8
85	тем что	2	8
86	в своих	4	8
87	соответствии с	2	8
88	той же	6	8
89	с точки	13	8
90	о себе	2	8
91	как раз	6	8
92	до конца	3	7
93	для всех	2	7
94	в их	7	7
95	не как	5	7
96	по своей	12	7
97	наконец в	3	7
98	друг друга	7	7
99	и тем	4	7
100	и других	12	7
101	для этого	2	7
102	другой стороны	3	7
103	и для	5	7
104	человека в	6	7
105	у нас	2	7
106	ведет к	3	7
107	именно в	3	7
108	в самом	7	7
109	и с	10	7
110	в одном	4	7
111	он и	2	7
112	в нем	21	7
113	и жизни	3	7
114	он не	5	7
115	тому же	3	7
116	еще и	4	6
117	его в	4	6
118	при всей	3	6
119	в виду	3	6
120	казалось бы	4	6
121	и он	5	6
122	и др	18	6
123	а затем	5	6
124	при всем	3	6
125	было бы	6	6
126	не было	5	6
127	например в	8	6
128	и то	2	6
129	во всех	15	6
130	в каждом	5	6
131	с ее	3	6
132	и наконец	4	6
133	в жизнь	2	6
134	далеко не	4	6
135	в ней	8	6
136	том числе	15	6
137	у него	5	6
138	как будто	3	6
139	в слове	2	6
140	все более	2	5
141	в соответствии	3	5
142	или иной	2	5
143	в литературе	8	5
144	так как	12	5
145	как он	4	5
146	он сам	5	5
147	в романе	9	5
148	не знает	8	5
149	более того	9	5
150	к этой	3	5
151	без другого	2	5
152	между тем	2	5
153	несмотря на	3	5
154	что и	4	5
155	себя и	3	5
156	в сущности	15	5
157	в связи	2	5
158	все еще	3	5
159	место в	3	5
160	хотя бы	6	5
161	в словах	2	5
162	должно быть	4	5
163	мы не	7	5
164	на свете	2	5
165	тем не	2	5
166	а я	3	5
167	и одновременно	6	5
168	как у	5	5
169	но уже	2	5
170	в себя	8	5
171	и если	4	5
172	и к	13	5
173	жизни как	4	5
174	к жизни	2	5
175	не к	3	5
176	но с	2	5
177	себе и	2	4
178	и прежде	6	4
179	все время	2	4
180	выше и	2	4
181	не всегда	3	4
182	здесь как	3	4
183	к своему	4	4
184	только на	3	4
185	в формах	2	4
186	знает что	2	4
187	и все	14	4
188	на его	4	4
189	могли бы	2	4
190	ту же	2	4
191	могут быть	5	4
192	в них	4	4
193	из ведущих	5	4
194	во всей	5	4
195	хотя и	10	4
196	как мы	12	4
197	себе самому	7	4
198	во всяком	2	4
199	самим собою	6	4
200	одной из	6	4
201	но при	2	4
202	нет ничего	3	4
203	жизни на	2	4
204	то это	4	4
205	но это	7	4
206	за пределы	7	4
207	к этому	5	4
208	совершенно не	4	4
209	со всеми	8	4
210	в пределах	8	4
211	все они	2	4
212	можно сказать	12	4
213	на то	2	4
214	века в	4	4
215	жизни не	2	4
216	на этом	4	4
217	не могу	3	4
218	жизни а	2	4
219	вовсе не	12	4
220	и что	3	4
221	что было	2	4
222	таким образом	9	4
223	от автора	2	3
224	на самом	2	3
225	ничего не	8	3
226	и потому	6	3
227	так же	4	3
228	но как	2	3
229	о чем	2	3
230	по себе	3	3
231	крайней мере	2	3
232	в отношении	3	3
233	отношение к	14	3
234	своей жизни	3	3
235	а во	3	3
236	а на	2	3
237	о нем	2	3
238	и о	3	3
239	установка на	2	3
240	в сознании	2	3
241	это уже	2	3
242	они не	5	3
243	но только	2	3
244	особое место	2	3
245	той или	2	3
246	или нет?	2	3
247	такие как	2	3
248	там где	3	3
249	числе и	13	3
250	и до	6	3
251	все эти	9	3
252	в истории	4	3
253	и еще	2	3
254	тот же	2	3
255	ее в	4	3
256	да и	3	3
257	если в	2	3
258	и от	4	3
259	во многих	2	3
260	жизнью в	2	3
261	можно было	2	3
262	в первой	2	3
263	бы и	3	3
264	дело в	3	3
265	с их	3	3
266	с ней	4	3
267	из своих	3	3
268	мысли и	2	3
269	превращается в	5	3
270	также и	5	3
271	в особенности	2	3
272	где в	2	3
273	героя и	3	3
274	в этих	8	3
275	все равно	6	3
276	а для	2	3
277	по крайней	2	3
278	отношении к	2	3
279	а за	2	3
280	всей своей	2	3
281	в роли	2	3
282	он в	2	3
283	в творчестве	8	3
284	когда он	2	3
285	из которых	2	3
286	со своей	2	3
287	между людьми	5	3
288	мы в	2	3
289	здесь не	5	3
290	и уже	2	3
291	говорить о	2	3
292	и перед	2	3
293	мира и	3	3
294	с ним	3	3
295	мы и	4	3
296	свое время	4	2
297	перед нами	17	2
298	начиная с	4	2
299	в диалог	2	2
300	у достоевского	30	2
301	если б	7	2
302	как человек	2	2
303	от него	3	2
304	еще раз	6	2
305	человека и	10	2
306	с идеей	2	2
307	и притом	2	2
308	и скрытой	2	2
309	не был	3	2
310	и у	8	2
311	есть и	4	2
312	а лишь	2	2
313	остается в	2	2
314	ведь это	2	2
315	к человеку	2	2
316	а как	4	2
317	и всегда	2	2
318	если оно	3	2
319	героя в	2	2
320	и при	2	2
321	с первой	2	2
322	мире и	2	2
323	самой жизни	2	2
324	всех других	2	2
325	в свое	4	2
326	к его	2	2
327	совершается в	2	2
328	так например	2	2
329	для понимания	3	2
330	это последнее	2	2
331	в него	4	2
332	что касается	2	2
333	при всех	2	2
334	к нему	3	2
335	она не	4	2
336	в общем	2	2
337	а только	2	2
338	могло бы	3	2
339	даже и	3	2
340	и без	4	2
341	художественного видения	2	2
342	что на	2	2
343	оно должно	2	2
344	себя как	2	2
345	жизнь и	3	2
346	для них	2	2
347	и другого	2	2
348	людей в	2	2
349	над собою	2	2
350	и некоторые	2	2
351	на лестнице	4	2
352	с ними	2	2
353	между двумя	4	2
354	в центре	4	2
355	впервые в	3	2
356	и по	5	2
357	бытия и	5	2
358	что они	2	2
359	и ее	8	2
360	жизнь не	2	2
361	человек и	2	2
362	и более	3	2
363	этом не	2	2
364	из своей	3	2
365	не за	3	2
366	здесь мы	3	2
367	сказать что	12	2
368	кажется что	3	2
369	все то	4	2
370	он как	2	2
371	бы в	2	2
372	с другими	6	2
373	в результате	2	2
374	время в	2	2
375	из этих	3	2
376	так сказать	8	2
377	тем более	2	2
378	исторической поэтики	4	2
379	который не	2	2
380	значение в	4	2
381	себя самого	3	2
382	лишь на	3	2
383	автора в	2	2
384	каждого из	2	2
385	для этой	2	2
386	в xix	3	2
387	живет на	6	2
388	последнее слово	2	2
389	между собою	2	2
390	этот образ	2	2
391	второй половины	2	2
392	xix веке	3	2
393	быть только	2	2
394	на протяжении	5	2
395	есть в	7	2
396	нет и	3	2
397	раз в	2	2
398	от всех	2	2
399	в котором	8	2
400	человек в	2	2
401	еще более	6	2
402	слова в	3	2
403	или иных	2	2
404	в большинстве	9	2
405	среди других	2	2
406	я за	2	2
407	есть от	2	2
408	романа и	4	2
409	раз и	2	2
410	в той	2	2
411	тех или	2	2
412	можно назвать	2	2
413	представлений о	2	2
414	реальности и	2	2
415	в таком	3	2
416	нового времени	8	2
417	во всем	5	2
418	мы имеем	4	2
419	писателей в	2	2
420	на основе	4	2
421	но он	3	2
422	xviii века	3	2
