N	3gram	Losev_Prob	Morfolog
1	и т д	20	60
2	в этом случае	8	10
3	не может быть	5	9
4	в связи с	9	9
5	с точки зрения	9	6
6	тем не менее	23	6
7	подобно тому как	2	5
8	с другой стороны	11	5
9	на самом деле	5	4
10	в том что	17	4
11	о том что	8	3
12	бы то ни	5	3
13	то время как	6	3
14	в настоящее время	4	3
15	в то время	6	3
16	как и в	2	3
17	для того чтобы	4	3
18	на первый взгляд	3	3
19	не значит что	2	3
20	на то что	2	3
21	в таких случаях	2	2
22	и в других	2	2
23	во всяком случае	8	2
24	дело не в	4	2
25	то ни было	4	2
26	не что иное	6	2
27	в данном случае	12	2
28	что иное как	6	2
29	более или менее	2	2
30	мы не будем	3	2
31	это и не	3	2
32	и тем не	6	2
33	случае не является	2	2
34	точно так же	5	2
35	о том как	4	2
36	может быть и	3	2
37	а вовсе не	3	2
38	хотя и не	2	2
39	можно было бы	6	2
40	говорить о том	2	2
41	с одной стороны	2	2
