N	2gram	Bakhtin_Fr	Marksizm
1	точки зрения	10	69
2	может быть	11	64
3	и в	105	63
4	и не	34	55
5	как бы	33	53
6	не может	9	47
7	с точки	6	46
8	и пр	5	42
9	и его	24	41
10	в этом	22	39
11	таким образом	5	38
12	в процессе	2	33
13	как мы	12	32
14	в пределах	3	31
15	лишь в	4	30
16	не только	24	29
17	в нем	16	28
18	то же	6	28
19	но и	20	27
20	самом деле	3	25
21	речи и	2	25
22	связи с	5	25
23	прежде всего	26	24
24	как и	15	24
25	в самом	7	24
26	так и	16	23
27	и т.п	26	23
28	только в	16	23
29	в том	17	22
30	то что	7	22
31	при этом	10	20
32	так сказать	5	20
33	для него	12	20
34	том что	9	19
35	не в	4	19
36	в его	24	19
37	но в	16	18
38	в ее	5	18
39	и для	3	18
40	вовсе не	25	18
41	все же	10	17
42	в сущности	20	17
43	в то	5	16
44	по отношению	2	16
45	и как	2	16
46	речевого общения	3	16
47	что он	5	15
48	в связи	2	15
49	во всех	13	15
50	отношению к	2	15
51	же время	5	15
52	хотя бы	2	14
53	в смысле	2	14
54	ничего не	3	13
55	во французском	2	13
56	так же	2	13
57	того чтобы	3	13
58	было бы	4	13
59	в своей	8	13
60	не является	4	13
61	и здесь	4	13
62	что в	4	13
63	выражение в	5	12
64	а в	4	12
65	в основе	8	12
66	для того	2	12
67	он не	3	12
68	между тем	5	12
69	на самом	6	11
70	друг друга	3	11
71	как в	6	11
72	и все	7	11
73	к нему	5	11
74	и на	25	11
75	в ней	7	11
76	сих пор	7	11
77	все эти	15	11
78	на материале	3	11
79	и от	3	11
80	так как	11	11
81	еще не	8	11
82	мы уже	18	11
83	до сих	7	11
84	никогда не	11	10
85	его в	7	10
86	и потому	14	10
87	в основном	4	10
88	отличие от	5	10
89	здесь мы	2	10
90	более того	3	10
91	здесь в	14	10
92	во всяком	2	10
93	с его	9	10
94	сказать что	12	10
95	одна из	5	10
96	к этому	2	10
97	в своем	11	10
98	совершенно не	5	10
99	в отличие	4	10
100	с другой	3	10
101	именно в	6	10
102	конечно не	2	10
103	в таком	2	10
104	в большинстве	2	10
105	и следовательно	3	9
106	в себе	7	9
107	это не	4	9
108	только на	3	9
109	мы видели	3	9
110	одной из	3	9
111	и это	3	9
112	к тому	3	9
113	большинстве случаев	2	9
114	в истории	5	9
115	в нашем	3	9
116	рядом с	9	9
117	и эта	5	9
118	и более	4	9
119	точка зрения	3	9
120	в отношении	7	8
121	или иной	5	8
122	в форме	6	8
123	и т.д	2	8
124	в их	6	8
125	на этой	5	8
126	что не	3	8
127	что и	2	8
128	за пределы	10	8
129	мысли и	4	8
