N	2gram	Medvedev_S	Mirosoze
1	и в	3	97
2	может быть	2	64
3	не только	3	63
4	в этом	5	55
5	но и	2	54
6	не в	3	34
7	что в	2	23
8	как бы	2	19
9	в его	3	18
10	в том	5	16
11	том что	2	16
12	то что	2	16
13	было бы	2	16
14	в конце	2	14
15	все это	7	12
16	только в	2	11
17	это и	2	10
18	должна быть	2	10
19	то же	2	10
20	за пределы	2	8
21	более чем	3	7
22	к которому	2	5
23	и мы	2	5
24	еще не	2	5
25	как будто	2	5
26	по отношению	2	4
27	конце концов	2	4
28	и только	3	4
29	отношению к	2	4
30	и что	2	4
31	ведь это	2	3
32	она может	2	3
33	литературы и	2	3
34	идей и	2	3
35	но ведь	3	3
36	для нас	3	3
37	нужно было	2	2
38	по природе	2	2
39	в смысле	2	2
40	им не	2	2
