N	2gram	Losev_Vesc	Sotsiolo
1	все это	7	7
2	в том	15	5
3	в этом	17	5
4	для нас	2	3
5	как же	6	3
6	не только	48	3
7	и только	11	3
8	в его	5	3
9	но ведь	2	3
10	не в	14	3
11	и в	44	3
12	это и	12	2
13	она может	4	2
14	дело не	4	2
15	должна быть	8	2
16	еще не	12	2
17	по природе	2	2
18	только в	23	2
19	что в	11	2
20	тем более	3	2
21	в частности	3	2
22	том что	13	2
23	было бы	24	2
24	таким образом	16	2
25	в смысле	22	2
26	то же	12	2
27	только как	2	2
28	как будто	2	2
29	и что	22	2
30	конце концов	2	2
31	как только	6	2
32	нужно было	3	2
33	то что	47	2
34	как бы	19	2
35	но и	19	2
36	главным образом	3	2
37	очевидно что	2	2
38	в конце	3	2
39	и мы	5	2
40	далеко не	2	2
41	может быть	37	2
42	по существу	3	2
43	метод и	2	2
44	в результате	9	2
