N	3gram	Voloshinov	OGranits
1	с точки зрения	31	5
2	до тех пор	2	4
3	не может быть	23	4
4	одно и то	3	3
5	тех пор пока	2	3
6	есть прежде всего	2	3
7	по отношению к	9	3
8	вполне понятно что	4	3
9	то же слово	2	2
10	с другой стороны	6	2
11	того или иного	2	2
12	социального общения и	3	2
13	в том что	9	2
14	изолированное монологическое высказывание	2	2
15	с самого начала	9	2
16	и то же	3	2
17	ничего общего с	2	2
18	в жизненной речи	3	2
19	с одной стороны	2	2
20	в зависимости от	2	2
21	языка как системы	7	2
22	в самом деле	13	2
