N	2gram	Bakhtin_sl	OGranits
1	и в	69	13
2	и его	45	12
3	прежде всего	14	9
4	и не	32	8
5	не может	27	8
6	может быть	40	8
7	в его	19	7
8	и их	6	7
9	точки зрения	24	7
10	не только	37	6
11	как бы	16	6
12	таким образом	16	6
13	только в	9	6
14	то что	2	6
15	в поэзии	4	5
16	языка и	18	5
17	все же	10	5
18	с точки	11	5
19	и эта	2	5
20	и наконец	9	5
21	хотя бы	6	5
22	в процессе	14	5
23	но в	13	4
24	только и	3	4
25	лишь в	6	4
26	то же	17	4
27	в сознании	3	4
28	но мы	2	4
29	не является	3	4
30	произведения как	3	4
31	в своей	8	4
32	все это	14	4
33	социальной группы	2	4
34	было бы	3	4
35	в двух	2	4
36	мы не	4	4
37	в каждом	5	4
38	слов и	5	4
39	на фоне	11	4
40	никогда не	9	3
41	да и	2	3
42	одно и	3	3
43	языка как	10	3
44	и для	7	3
45	слово в	18	3
46	и то	2	3
47	и все	9	3
48	связана с	2	3
49	в ее	2	3
50	с этим	5	3
51	отношению к	2	3
52	как и	8	3
53	в пределах	27	3
54	не в	14	3
55	в их	6	3
56	говорить о	2	3
57	так как	7	3
58	в себе	3	3
59	что в	3	3
60	по отношению	2	3
61	точку зрения	6	3
62	за пределы	6	3
63	так и	22	3
64	в которой	4	3
65	не как	4	3
66	в одном	4	3
67	но и	37	3
68	не столько	4	3
69	в самом	6	2
70	могут быть	25	2
71	может иметь	3	2
72	мы видим	2	2
73	конечно в	2	2
74	в этом	21	2
75	смысле слова	2	2
76	в них	11	2
77	данном случае	3	2
78	уже в	2	2
79	языка но	7	2
80	в том	7	2
81	в отношении	9	2
82	есть не	2	2
83	несмотря на	2	2
84	в целом	3	2
85	речи не	2	2
86	не исчерпывается	3	2
87	от этого	2	2
88	с одной	7	2
89	или иного	2	2
90	зависимости от	4	2
91	роль в	4	2
92	каждое слово	5	2
93	и др	17	2
94	материал в	2	2
95	более того	5	2
96	с другой	8	2
97	там где	10	2
98	слова и	21	2
99	человеческой речи	2	2
100	языковых форм	2	2
101	а в	10	2
102	и тем	3	2
103	том что	6	2
104	того или	2	2
105	же слово	3	2
106	а как	3	2
107	а также	5	2
108	и к	9	2
109	в языке	7	2
110	в связи	2	2
111	в зависимости	4	2
112	в данном	5	2
113	не менее	4	2
114	и следовательно	8	2
115	с ними	8	2
116	все эти	15	2
117	к предмету	4	2
118	связанные с	7	2
119	так же	2	2
120	что они	2	2
121	мы уже	4	2
122	те же	3	2
123	героя и	5	2
124	нуждается в	3	2
125	и при	2	2
126	с этой	3	2
127	и может	4	2
128	его на	2	2
129	в нем	44	2
130	не на	6	2
131	при этом	12	2
132	и ее	3	2
133	форм и	3	2
134	а не	29	2
135	в ней	7	2
136	входит в	8	2
137	как в	18	2
138	другой стороны	5	2
139	во всем	3	2
140	одной стороны	7	2
141	между тем	5	2
142	в чем	2	2
143	связанных с	4	2
144	на язык	2	2
145	в другом	4	2
146	вовсе не	16	2
147	к тому	3	2
148	в языковом	5	2
149	с помощью	5	2
150	наконец в	5	2
151	для него	8	2
152	поэтического языка	4	2
153	литературного языка	28	2
154	и стиль	2	2
155	может стать	3	2
