N	2gram	Vinokur_Ku	StatiiOP
1	и в	44	103
2	в том	47	89
3	том что	30	77
4	в этом	31	76
5	что в	25	74
6	не только	29	60
7	и т	62	51
8	о том	10	47
9	но и	13	46
10	то что	14	44
11	что он	7	42
12	в его	16	42
13	и не	23	41
14	может быть	25	38
15	т е	54	33
16	было бы	28	32
17	т д	21	32
18	в этой	8	31
19	вовсе не	18	31
20	все это	10	29
21	тем что	9	29
22	таким образом	17	28
23	в г	3	28
24	а в	7	27
25	а не	17	27
26	но в	11	26
27	что это	11	25
28	так и	10	25
29	этом отношении	8	24
30	и его	8	24
31	все же	17	23
32	не в	18	23
33	так что	5	23
34	точки зрения	25	23
35	потому что	40	23
36	того что	11	22
37	в области	15	22
38	прежде всего	14	22
39	для того	23	22
40	у нас	19	22
41	в которой	7	22
42	как в	6	22
43	того чтобы	25	21
44	и пр	23	21
45	это не	13	20
46	до сих	5	20
47	т п	39	19
48	в то	4	19
49	сих пор	5	19
50	в своей	4	19
51	только в	15	19
52	пушкин и	2	18
53	об этом	4	18
54	не может	13	18
55	но также	6	18
56	с другой	14	18
57	в котором	4	18
58	он не	4	18
59	в году	3	17
60	самом деле	17	17
61	между прочим	4	17
62	в данном	8	17
63	как на	4	17
64	в самом	20	17
65	как бы	11	17
66	с этим	6	16
67	сказать что	5	16
68	в ней	6	16
69	можно было	14	16
70	если бы	21	16
71	в статье	3	16
72	в этих	5	16
73	в отношении	2	15
74	с тем	5	15
75	как и	3	15
76	для него	2	15
77	например в	5	15
78	по поводу	2	15
79	другой стороны	12	15
80	из этих	5	15
81	я не	5	15
82	также и	7	15
83	и на	8	15
84	у него	3	15
85	как раз	10	15
86	была бы	5	14
87	так например	3	14
88	к тому	8	14
89	между тем	11	14
90	то же	12	14
91	но все	5	14
92	с точки	16	14
93	и что	11	14
94	в своем	4	13
95	в конце	5	13
96	со стороны	8	13
97	а с	3	13
98	что касается	4	13
99	тому что	3	13
100	но это	4	13
101	в качестве	12	13
102	в нем	7	13
103	во всяком	8	13
104	дело в	2	13
105	в языке	16	13
106	именно в	7	13
107	из них	4	13
108	всяком случае	8	13
109	в той	6	13
110	вместе с	8	13
111	не менее	12	12
112	что они	5	12
113	так как	16	12
114	обстоятельство что	15	12
115	как например	3	12
116	хотя бы	19	12
117	что у	3	12
118	ни в	3	12
119	в своих	2	12
120	никогда не	2	11
121	вопрос о	11	11
122	и с	11	11
123	в другом	2	11
124	своего рода	4	11
125	в них	10	11
126	все эти	17	11
127	и по	4	11
128	того как	6	11
129	это было	2	11
130	на то	6	11
131	то обстоятельство	15	11
132	не было	6	11
133	ясно что	7	11
134	на самом	3	10
135	в каком	6	10
136	так же	8	10
137	ответ на	2	10
138	в виду	7	10
139	в частности	6	10
140	xix века	5	10
141	ничего не	6	10
142	думаю что	4	10
143	не столько	2	10
144	речь идет	4	10
145	в целом	5	10
146	что и	5	10
147	в истории	3	10
148	это слово	7	10
149	кроме того	2	10
150	но не	11	10
151	что такое	8	10
152	же время	4	10
153	но он	2	10
154	в каждом	3	9
155	письме к	2	9
156	в чем	2	9
157	что же	11	9
158	несмотря на	6	9
159	там где	7	9
160	можно сказать	6	9
161	вряд ли	5	9
162	мне кажется	2	9
163	в одном	4	9
164	интересно что	2	9
165	ср в	2	9
166	не является	2	9
167	с этой	4	9
168	и для	3	9
169	для нас	6	9
170	что мы	6	9
171	внимание на	5	9
172	и тем	7	9
173	и это	3	9
174	до конца	3	8
175	могут быть	5	8
176	отношение к	2	8
177	к которому	3	8
178	в их	3	8
179	связано с	3	8
180	к сожалению	2	8
181	той же	5	8
182	в общем	4	8
183	в какой	7	8
184	связи с	8	8
185	к этому	4	8
186	а также	3	8
187	мы имеем	11	8
188	дело не	4	8
189	что она	5	8
190	в результате	8	8
191	тем не	10	8
192	и даже	5	8
193	но ведь	3	8
