N	2gram	Voloshinov	VerxiiNi
1	и в	13	26
2	таким образом	6	22
3	в этом	2	15
4	точки зрения	7	13
5	как бы	6	12
6	в том	2	11
7	не только	6	10
8	может быть	8	10
9	что в	3	9
10	так как	3	9
11	в области	2	9
12	но и	3	9
13	с другой	2	8
14	в общем	2	8
15	и не	8	8
16	связанные с	2	7
17	одной стороны	2	7
18	то что	6	7
19	с одной	2	7
20	но в	4	7
21	том что	2	7
22	в отношении	2	6
23	все же	5	6
24	к тому	2	6
25	мы должны	6	6
26	в себе	3	6
27	несмотря на	2	6
28	с точки	5	6
29	и т.д	5	6
30	все эти	2	6
31	все это	4	6
32	так и	3	6
33	никогда не	3	5
34	и для	3	5
35	не имеет	2	5
36	так же	2	5
37	и к	2	5
38	лишь в	4	5
39	в его	7	5
40	а не	2	5
41	а в	2	4
42	в самом	2	4
43	в нем	2	4
44	не может	8	4
45	то же	4	4
46	только в	6	4
47	в течение	2	4
48	учение о	2	4
49	с самого	2	3
50	хотя бы	5	3
51	в которой	3	3
52	если бы	2	3
53	при этом	2	3
54	не менее	2	3
55	и при	2	3
56	с этой	2	3
57	в связи	2	3
58	подойти к	2	3
59	отношению к	3	3
60	к сожалению	2	3
61	в одном	3	3
62	для него	2	3
63	не исчерпывается	2	2
64	и является	2	2
65	общего с	3	2
66	а также	2	2
67	тех пор	4	2
68	ни один	3	2
69	в процессе	5	2
70	мы можем	4	2
71	между тем	2	2
72	не как	3	2
73	связанных с	2	2
74	те же	2	2
75	в них	2	2
76	уже в	2	2
77	наконец в	2	2
78	пути к	2	2
79	превращается в	3	2
80	самого начала	2	2
81	не в	3	2
82	и наконец	5	2
83	ничего общего	3	2
84	и все	3	2
85	с телом	2	2
86	прежде всего	9	2
87	тот же	2	2
88	связана с	3	2
89	вслед за	2	2
