N	3gram	Tiupa_Anal	Literetu
1	в то же	7	21
2	то же время	7	21
3	в том что	12	21
4	по отношению к	9	12
5	с одной стороны	3	12
6	в данном случае	11	11
7	в отличие от	5	11
8	не может быть	2	11
9	состоит в том	2	11
10	в конечном счете	5	10
11	о том что	7	10
12	так или иначе	5	10
13	в этом отношении	3	10
14	на наш взгляд	5	9
15	присутствия в мире	5	8
16	с точки зрения	2	8
17	с другой стороны	7	7
18	к тому же	7	6
19	подобно тому как	3	6
20	не только в	5	6
21	едва ли не	3	6
22	в русской литературе	5	5
23	тем не менее	3	5
24	в соответствии с	2	5
25	при этом как	2	5
26	в том чтобы	2	5
27	и прежде всего	2	4
28	тогда как в	3	4
29	и тем самым	2	4
30	я в мире	7	4
31	и то что	2	4
32	факторов художественного впечатления	4	3
33	во всяком случае	6	3
34	той или иной	6	3
35	по крайней мере	5	3
36	речь идет о	2	3
37	объекта и адресата	2	3
38	в равной степени	2	3
39	в свою очередь	7	3
40	в этой системе	2	2
41	тогда как сам	2	2
42	все той же	2	2
43	субъекта объекта и	2	2
44	в повестях белкина	10	2
45	мы имеем дело	4	2
46	в полной мере	3	2
47	так и не	5	2
48	не удивительно что	2	2
49	в свое время	4	2
50	как нам представляется	2	2
51	не только не	3	2
52	в русской поэзии	2	2
53	в своем составе	3	2
54	но и в	2	2
55	в чистом виде	2	2
56	дело в том	3	2
57	в сочетании с	4	2
58	в значительной степени	3	2
59	в этом контексте	3	2
60	в сравнении с	2	2
61	этого текста в	2	2
