N	2gram	Propp_Isto	VeschiIm
1	т е	27	81
2	и не	19	57
3	не только	17	48
4	то что	16	48
5	не может	10	46
6	и в	44	45
7	и есть	3	40
8	может быть	31	39
9	и т	39	39
10	т д	36	38
11	а не	5	37
12	значит что	2	32
13	это значит	2	30
14	потому что	18	25
15	было бы	2	24
16	что она	3	23
17	по себе	2	23
18	только в	8	23
19	сказать что	2	22
20	и что	13	22
21	как бы	4	20
22	что это	8	19
23	но и	16	19
24	все же	17	18
25	в этом	20	18
26	есть не	2	17
27	и это	5	17
28	прежде всего	7	17
29	так как	19	17
30	что мы	4	17
31	того что	3	16
32	таким образом	21	16
33	в том	13	15
34	как и	12	15
35	в ней	8	15
36	уже не	14	15
37	не в	11	14
38	и то	5	14
39	но это	10	14
40	том что	12	13
41	есть и	3	13
42	это и	3	13
43	и для	3	13
44	в себя	3	13
45	ничего не	4	12
46	но если	2	12
47	совершенно не	2	12
48	что в	18	12
49	точки зрения	3	12
50	что и	11	12
51	что они	3	12
52	и как	5	12
53	то же	9	12
54	еще не	16	12
55	и даже	4	12
56	о том	11	12
57	и с	8	12
58	еще и	2	11
59	в то	5	11
60	не менее	6	11
61	что не	3	11
62	вовсе не	6	11
63	себя в	6	11
64	тем не	6	11
65	и пр	6	11
66	также и	2	11
67	ни в	2	11
68	есть ли	2	10
69	что оно	4	10
70	ясно что	5	10
71	это не	8	9
72	со стороны	6	9
73	так что	2	9
74	в своем	3	9
75	она не	7	9
76	другими словами	4	9
77	ли это	2	9
78	хотя бы	2	9
79	на то	3	9
80	но не	8	9
81	и его	15	9
82	с ним	9	9
83	его в	17	8
84	и потому	2	8
85	даже не	2	8
86	что он	29	8
87	но в	7	8
88	в ее	4	8
89	мы не	6	8
90	все это	4	8
91	должна быть	3	8
92	можно сказать	2	8
93	с другими	4	8
94	мы имеем	22	8
95	в свете	5	8
96	если бы	5	8
97	с тем	9	8
98	что есть	2	8
99	для него	2	8
100	с другой	11	8
101	со своим	2	8
102	не потому	5	7
103	и тем	7	7
104	из них	4	7
105	самом деле	2	7
106	а в	9	7
107	все эти	11	7
108	е в	6	7
109	относится к	3	7
110	по имени	2	7
111	тем что	12	7
112	с этой	4	7
113	мог бы	2	7
114	и тогда	2	7
115	никогда не	5	6
116	вопрос о	5	6
117	она имеет	2	6
118	и все	4	6
119	а если	2	6
120	в нем	10	6
121	между ними	2	6
122	должны быть	2	6
123	в своей	3	6
124	ее не	3	6
125	как мы	9	6
126	одно и	2	6
127	одна из	6	6
128	и вообще	3	6
129	в данном	3	6
130	этот вопрос	2	6
131	их в	7	6
132	из себя	4	6
133	несмотря на	3	6
134	жизни и	4	6
135	как только	2	6
136	в одном	2	6
137	мы должны	7	5
138	должен быть	2	5
139	и мы	3	5
140	вместе с	26	5
141	себе в	3	5
142	как это	5	5
143	того же	3	5
144	даже и	2	5
145	между прочим	2	5
146	тогда когда	3	5
147	то это	8	5
148	один из	6	5
149	на себя	4	5
150	мы видим	12	5
151	в его	16	5
152	для этого	3	5
153	во всех	3	5
154	в которой	4	5
155	об этом	6	5
156	и здесь	12	5
157	думают что	2	5
158	или как	3	5
159	подобно тому	2	5
160	что у	6	5
161	все что	5	5
162	в свою	3	5
163	как можно	2	5
164	тому как	2	5
165	то или	2	5
166	так же	14	4
167	том как	5	4
168	к себе	3	4
169	в силу	7	4
170	отношение к	3	4
171	и у	3	4
172	при помощи	11	4
173	так и	9	4
174	только тогда	4	4
175	что все	4	4
176	и оно	2	4
177	в этой	5	4
178	то время	3	4
179	этой точки	2	4
180	его на	5	4
181	того чтобы	3	4
182	в качестве	13	4
183	не было	2	4
184	когда она	2	4
185	с ними	4	4
186	в основе	3	4
187	и всем	2	4
188	но то	2	4
189	то в	2	4
190	с этим	7	4
191	есть в	2	4
192	к ней	2	4
193	мы можем	6	4
194	на него	10	4
195	в особенности	6	4
196	и вот	4	4
197	его и	2	4
198	и о	2	4
199	и более	3	4
200	время как	3	4
201	в котором	2	4
202	есть уже	2	4
203	это так	2	4
204	на этом	5	4
205	главным образом	2	4
206	есть условие	4	4
207	находится в	2	4
208	говорит о	4	4
209	он не	5	4
210	и сам	2	4
211	перед нами	2	3
212	явление как	2	3
213	но как	2	3
214	человека и	2	3
215	а потом	3	3
216	но даже	2	3
217	в другом	2	3
218	то мы	3	3
219	состоит из	4	3
220	в виде	13	3
221	только на	2	3
222	в частности	9	3
223	если он	2	3
224	а с	2	3
225	по существу	2	3
226	мы видели	9	3
227	к нему	5	3
228	но оно	3	3
229	одной стороны	7	3
230	другой стороны	10	3
231	если не	4	3
232	в целом	4	3
233	же как	12	3
234	вот почему	2	3
235	и может	2	3
236	в истории	7	3
237	все еще	6	3
238	из его	2	3
239	только один	3	3
240	к другой	2	3
241	от этого	6	3
242	но уже	5	3
243	только что	3	3
244	превращается в	10	3
245	для того	3	3
246	себе что	2	3
247	как в	11	3
248	с одной	7	3
249	к пониманию	2	3
250	или другой	2	3
251	не мог	3	3
252	но все	8	3
253	является и	4	3
254	у него	7	3
255	не имеет	4	3
256	видели что	2	3
257	в своих	4	3
258	чтобы она	2	3
259	из которых	7	3
260	и она	3	3
261	но когда	3	3
262	однако в	2	3
263	из этого	3	3
264	не говорит	2	3
265	или в	7	3
266	мы уже	6	3
267	но он	2	3
268	данном случае	2	2
269	в свой	3	2
270	тем самым	2	2
271	и заставляет	2	2
272	ее и	3	2
273	руки и	2	2
274	к этим	3	2
275	на три	2	2
276	о чем	6	2
277	чтобы они	2	2
278	здесь как	3	2
279	не как	5	2
280	в это	3	2
281	наряду с	7	2
282	и таким	2	2
283	в одно	2	2
284	очевидно что	3	2
285	но эта	2	2
286	на все	2	2
287	это только	2	2
288	как он	6	2
289	у них	2	2
290	в свое	2	2
291	на вопрос	3	2
292	в руки	3	2
293	одно из	3	2
294	но эти	4	2
295	на этой	5	2
296	видим что	5	2
297	е на	2	2
298	это уже	2	2
299	с другом	2	2
300	уже в	4	2
301	ту же	2	2
302	так в	5	2
303	это для	2	2
304	она и	2	2
305	а затем	7	2
306	на более	2	2
307	связи с	10	2
308	в связи	6	2
309	и они	5	2
310	меня не	2	2
311	еще один	3	2
312	к его	2	2
313	а также	5	2
314	утверждать что	2	2
315	что эта	2	2
316	ее на	2	2
317	здесь не	3	2
318	всем что	2	2
319	к этому	5	2
320	не обязательно	2	2
321	с ней	2	2
322	это было	2	2
323	знает и	2	2
324	друг с	2	2
325	переход от	2	2
326	что здесь	9	2
327	мы еще	2	2
328	же она	2	2
329	человека в	5	2
330	находятся в	2	2
331	и быть	2	2
332	и другие	5	2
333	одного из	3	2
334	силы и	2	2
335	себе и	2	2
336	не хватает	2	2
337	на нее	3	2
338	связан с	7	2
339	ее к	2	2
340	том чтобы	3	2
341	зависит от	4	2
342	когда он	7	2
343	и к	3	2
344	но для	4	2
345	приводит к	2	2
346	о которых	4	2
347	в более	6	2
348	для нас	6	2
349	и на	11	2
350	что образ	2	2
351	не знаем	3	2
352	совершенно ясно	6	2
353	то он	2	2
354	и уже	2	2
355	с собой	6	2
356	или другое	3	2
357	как будто	2	2
358	во всем	4	2
359	той же	2	2
360	с его	3	2
