N	3gram	Ircho_Kome	Myslijsy
1	в том что	13	47
2	по отношению к	5	26
3	тем не менее	2	18
4	и т д	4	15
5	то же время	5	13
6	в то же	5	13
7	во всяком случае	4	12
8	с другой стороны	6	12
9	до сих пор	3	12
10	и т п	7	11
11	для того чтобы	3	11
12	в то время	8	10
13	с одной стороны	5	10
14	о том что	6	9
15	на то что	2	9
16	но и в	2	9
17	что и в	2	9
18	вместе с тем	4	8
19	только потому что	2	8
20	как и в	2	7
21	не в состоянии	3	7
22	в этом смысле	2	7
23	то же самое	2	6
24	после того как	3	6
25	с самого начала	2	6
26	друг от друга	2	6
27	таким образом в	2	5
28	к тому что	3	5
29	и таким образом	2	5
30	в этом отношении	3	4
31	то время как	6	4
32	бы то ни	4	3
33	том что он	4	3
34	говоря уже о	4	3
35	что он не	2	3
36	можно было бы	3	3
37	не говоря уже	4	3
38	в большинстве случаев	2	3
39	в связи с	3	3
40	так или иначе	4	3
41	в одном из	4	3
42	то ни было	4	2
43	и с этой	2	2
44	мы можем судить	2	2
45	сплошь да рядом	2	2
46	у нас в	2	2
