N	2gram	Losev_Dial	Komedia
1	и в	35	77
2	и не	51	47
3	в том	20	44
4	том что	18	42
5	т е	49	33
6	о том	8	33
7	но и	17	32
8	может быть	30	30
9	таким образом	5	29
10	из них	5	29
11	в то	10	28
12	и его	6	28
13	в этом	18	27
14	потому что	23	27
15	что он	16	26
16	к тому	6	26
17	не только	26	25
18	тому же	3	25
19	вместе с	3	25
20	так как	24	24
21	как и	10	23
22	ни в	20	23
23	что в	19	23
24	что и	7	22
25	если бы	12	22
26	в самом	6	22
27	в конце	5	21
28	так и	18	21
29	а в	8	21
30	то же	21	21
31	ясно что	11	21
32	в его	4	20
33	со стороны	2	19
34	во время	2	19
35	к этому	2	19
36	в этой	3	18
37	и т	31	17
38	тем что	2	17
39	еще не	4	17
40	в нем	25	17
41	же время	9	17
42	все же	9	16
43	у него	2	16
44	не менее	5	16
45	при этом	2	16
46	сих пор	4	16
47	он не	5	16
48	до сих	4	16
49	его в	3	15
50	в своем	7	15
51	не в	12	15
52	точки зрения	25	15
53	между тем	3	15
54	прежде всего	14	15
55	один из	3	15
56	было бы	14	15
57	в которой	3	15
58	к нему	12	14
59	все это	14	14
60	об этом	7	14
61	и с	10	14
62	о чем	4	13
63	то что	25	13
64	так что	21	13
65	самом деле	6	13
66	но в	8	13
67	в них	4	13
68	что она	18	13
69	мы можем	5	13
70	только что	5	13
71	в одном	4	13
72	как раз	7	13
73	так же	6	12
74	с другой	10	12
75	для того	2	12
76	т п	3	12
77	как это	8	12
78	уже в	5	12
79	несмотря на	12	12
80	на сцене	3	12
81	не по	2	12
82	в качестве	2	12
83	хотя и	4	12
84	не может	16	12
85	как в	3	12
86	но не	9	12
87	в котором	5	12
88	в их	5	11
89	в частности	4	11
90	с тем	2	11
91	речь идет	2	11
92	как мы	5	11
93	то время	3	11
94	к ней	4	11
95	и даже	23	11
96	и для	2	11
97	с ним	9	11
98	в отношении	5	10
99	отношение к	5	10
100	ничего не	19	10
101	и все	11	10
102	в чем	9	10
103	что касается	3	10
104	ничуть не	2	10
105	же в	2	10
106	тут же	2	10
107	с этим	5	10
108	тем более	2	10
109	на него	2	10
110	с одной	4	10
111	сразу же	2	10
112	как бы	19	10
113	еще в	2	10
114	и что	17	10
115	в тех	2	9
116	тому что	4	9
117	одной стороны	3	9
118	и по	5	9
119	даже не	4	9
120	в своей	9	9
121	того как	3	9
122	независимо от	2	9
123	и еще	4	9
124	время как	7	9
125	но все	5	9
126	все что	2	9
127	вовсе не	19	9
128	говорить о	9	9
129	только в	7	9
130	в ней	4	9
131	тех пор	2	8
132	в облаках	2	8
133	как он	5	8
134	по своему	4	8
135	с самого	2	8
136	не знает	2	8
137	то это	6	8
138	связи с	3	8
139	да и	11	8
140	что ни	3	8
141	другой стороны	7	8
142	можно было	5	8
143	бы в	3	8
144	с этой	3	8
145	что у	3	8
146	что для	3	8
147	в которых	2	8
148	меньше всего	4	8
149	не было	7	8
150	во всех	3	8
151	вопрос о	3	7
152	в первую	2	7
153	в себе	23	7
154	в другом	6	7
155	и у	2	7
156	это время	3	7
157	и к	8	7
158	самого начала	2	7
159	и о	4	7
160	так или	3	7
161	но если	6	7
162	и это	6	7
163	в связи	3	7
164	что они	8	7
165	во всяком	5	7
166	если в	5	7
167	из этих	2	7
168	хотя бы	6	7
169	в результате	2	7
170	и вот	10	7
171	не является	3	7
172	ни было	2	7
173	в этих	6	7
174	не имеет	15	7
175	или иначе	3	7
176	к его	2	7
177	отнюдь не	13	7
178	конце концов	4	7
179	всяком случае	3	7
180	перед лицом	2	7
181	даже в	6	6
182	в силу	6	6
183	в виду	9	6
184	и тем	2	6
185	в области	2	6
186	больше того	5	6
187	о которых	2	6
188	могут быть	6	6
189	здесь в	3	6
190	что не	13	6
191	в сущности	2	6
192	никто не	2	6
193	нет и	2	6
194	в дальнейшем	6	6
195	как из	3	6
196	не зная	2	6
197	и он	6	6
198	это было	4	6
199	тем не	3	6
200	и как	14	6
201	как будто	7	6
202	больше всего	2	6
203	в какой	3	6
204	на то	5	6
205	еще более	3	6
206	когда он	2	6
207	на этом	4	6
208	главным образом	2	6
209	с точки	18	6
210	или в	2	6
211	а не	24	6
212	никогда не	18	5
213	и если	5	5
214	что их	2	5
215	этом отношении	2	5
216	это не	18	5
217	из того	2	5
218	вслед за	2	5
219	в каждом	4	5
220	в изображении	2	5
221	и мы	8	5
222	после этого	3	5
223	вывод что	2	5
224	все время	4	5
225	по существу	2	5
226	любви к	2	5
227	к ним	3	5
228	представить себе	2	5
229	мы имеем	4	5
230	что на	2	5
231	же не	4	5
232	в ее	3	5
233	и я	3	5
234	только один	2	5
235	сказать что	19	5
236	и от	5	5
237	для этого	2	5
238	что это	21	5
239	себя в	2	5
240	в сознании	3	5
241	в мире	3	5
242	за пределы	4	5
243	на сцену	2	5
244	т д	28	5
245	даже если	4	5
246	чаще всего	2	5
247	от того	2	5
248	что по	3	5
249	раз в	2	5
250	именно в	4	5
251	что я	5	5
252	он и	2	5
253	жизни и	9	5
254	конечно не	9	5
255	друг другу	4	5
256	же самое	3	5
257	у меня	4	5
258	тем же	3	5
259	но он	3	5
260	не о	5	4
261	чтобы не	6	4
262	нуждается в	6	4
263	не остается	2	4
