N	2gram	Voloshinov	VLabPisa
1	таким образом	9	32
2	в этом	9	29
3	не только	7	26
4	и в	16	26
5	может быть	17	23
6	во сне	2	21
7	хотя бы	4	20
8	и не	4	20
9	художественного творчества	4	19
10	не может	8	17
11	в том	3	15
12	в его	4	15
13	прежде всего	9	13
14	все это	4	13
15	в частности	2	12
16	как это	3	12
17	что в	3	11
18	то же	2	10
19	не могут	2	10
20	но и	4	10
21	и др	3	10
22	о том	2	10
23	к этому	2	9
24	для него	6	9
25	том что	3	8
26	могут быть	3	8
27	все эти	5	8
28	было бы	2	8
29	только в	4	8
30	вместе с	3	8
31	из этих	2	7
32	во всех	3	7
33	в основном	3	7
34	то что	3	7
35	как и	2	7
36	их в	3	7
37	в нем	4	7
38	в конечном	3	7
39	у него	2	6
40	так и	4	6
41	один из	2	6
42	и его	8	6
43	никогда не	2	5
44	сказать что	7	5
45	в одном	3	5
46	конечном счете	2	5
47	в пределах	2	5
48	как бы	5	5
49	в них	2	5
50	и есть	3	5
51	на основе	2	5
52	образов и	2	4
53	и ее	4	4
54	ее в	2	4
55	что он	2	4
56	отнюдь не	4	4
57	в самом	2	4
58	с ними	4	4
59	в своей	2	4
60	во время	3	4
61	можно сказать	4	4
62	в этой	4	4
63	с его	7	4
64	и к	6	3
65	с этим	2	3
66	так же	2	3
67	но как	2	3
68	его в	4	3
69	и как	3	3
70	это делает	2	3
71	и их	4	3
72	всех других	2	3
73	мы знаем	3	3
74	нет и	2	3
75	а в	3	3
76	точки зрения	8	3
77	мира и	3	3
78	и образы	2	3
79	что оно	2	3
80	между ними	3	3
81	что не	2	3
82	и художественного	3	3
83	жизни и	3	3
84	что и	2	3
85	сводится к	2	3
86	и по	2	3
87	момент в	2	3
88	можно определить	2	2
89	определить как	2	2
90	и потому	3	2
91	сновидения и	2	2
92	никаких оснований	3	2
93	с другими	3	2
94	только то	2	2
95	крайней мере	3	2
96	при всей	2	2
97	и через	2	2
98	даже не	3	2
99	и даже	4	2
100	представлений и	3	2
101	в области	3	2
102	только для	5	2
103	и наконец	4	2
104	в науке	2	2
105	еще не	5	2
106	нет никаких	2	2
107	между собою	2	2
108	всех его	2	2
109	по крайней	3	2
110	в чем	5	2
111	сих пор	3	2
112	в жизни	2	2
113	к ним	2	2
114	и для	2	2
115	и этот	2	2
116	не менее	2	2
117	но в	4	2
118	они не	2	2
119	в общем	3	2
120	что такое	5	2
121	знаем что	2	2
122	и бессознательное	3	2
123	на этом	3	2
124	что мы	2	2
125	с нею	2	2
126	всяком случае	3	2
127	же как	2	2
128	говорить о	2	2
129	и может	4	2
130	он не	2	2
131	во всей	2	2
132	ту же	2	2
133	на язык	3	2
134	во всяком	3	2
135	до сих	3	2
