N	2gram	Bakhtin_Pr	VrazhdaK
1	у тургенева	2	11
2	не только	26	9
3	достоевского с	8	9
4	достоевский и	3	8
5	достоевский в	10	8
6	и что	2	8
7	в этом	40	8
8	и в	59	8
9	что в	14	7
10	но и	22	7
11	и все	4	7
12	достоевского в	21	7
13	достоевского и	14	7
14	то что	21	7
15	но в	7	6
16	как и	21	6
17	в котором	6	6
18	в начале	3	6
19	в нем	38	6
20	и с	10	6
21	о нем	16	6
22	все же	9	6
23	в романе	12	6
24	и даже	4	6
25	и не	66	5
26	не было	5	5
27	об этом	4	5
28	то же	15	5
29	в то	15	5
30	же время	10	5
31	у него	9	5
32	между тем	5	5
33	для нас	3	4
34	что достоевский	3	4
35	уже в	9	4
36	несмотря на	7	4
37	у достоевского	35	4
38	в своих	5	4
39	это не	13	4
40	в виду	2	4
41	все это	12	4
42	при этом	5	4
43	о том	5	4
44	в ней	8	4
45	как бы	40	4
46	х годов	2	4
47	так же	10	4
48	что он	16	4
49	достоевского не	18	4
50	в истории	3	4
51	он считал	2	4
52	с ним	13	4
53	может быть	38	4
54	человека в	8	3
55	и у	6	3
56	в том	17	3
57	в чем	2	3
58	одним из	11	3
59	его в	6	3
60	далеко не	3	3
61	что у	5	3
62	и уже	3	3
63	и во	2	3
64	в своем	12	3
65	том что	15	3
66	в его	44	3
67	сам достоевский	4	3
68	и о	5	3
69	и его	21	3
70	достоевский не	8	3
71	и как	10	3
72	в этот	2	3
73	в русской	3	3
74	он не	11	3
75	о себе	12	3
76	достоевского к	5	3
77	к этому	6	3
78	из подполья	14	3
79	но он	3	3
80	я не	7	3
81	русской литературе	2	3
82	в конце	9	3
83	по нашему	5	3
84	с его	14	3
85	тем что	5	3
86	никогда не	19	2
87	в них	5	2
88	уже не	14	2
89	в мире	10	2
90	одна из	4	2
91	к ним	3	2
92	и достоевский	3	2
93	и т.п	8	2
94	место в	2	2
95	в той	9	2
96	для него	23	2
97	и это	5	2
98	с точки	21	2
99	как же	5	2
100	роман достоевского	11	2
101	а в	9	2
102	он писал	3	2
103	он сам	9	2
104	в этой	5	2
105	нашему убеждению	2	2
106	достоевского он	2	2
107	о достоевском	12	2
108	и наказания	2	2
109	его с	2	2
110	в своей	17	2
111	как раз	9	2
112	же в	3	2
113	но как	4	2
114	и он	3	2
115	в себе	9	2
116	еще не	11	2
117	точки зрения	36	2
118	же как	5	2
119	тем более	2	2
120	это в	3	2
121	таким образом	22	2
122	и ее	5	2
123	что я	2	2
124	в момент	4	2
125	его и	4	2
126	отношения к	4	2
127	время и	2	2
128	на это	2	2
129	их в	8	2
130	достоевский был	5	2
131	рядом с	16	2
132	не может	31	2
133	из них	8	2
134	ответ на	2	2
135	не менее	3	2
136	его на	2	2
137	но это	7	2
138	к себе	2	2
139	а с	4	2
140	вместе с	2	2
141	отношение к	4	2
