N	2gram	Propp_Isto	Freidism
1	и не	19	34
2	таким образом	21	34
3	точки зрения	3	31
4	не может	10	30
5	и пр	6	29
6	может быть	31	28
7	и в	44	28
8	в этом	20	28
9	прежде всего	7	26
10	в его	16	25
11	и его	15	22
12	мы можем	6	20
13	как бы	4	19
14	как мы	9	18
15	то что	16	17
16	вовсе не	6	16
17	так как	19	15
18	все эти	11	15
19	самом деле	2	14
20	так и	9	14
21	в своей	3	14
22	с ним	9	14
23	во всех	3	13
24	и все	4	13
25	но в	7	13
26	как и	12	13
27	по отношению	2	13
28	и потому	2	12
29	том что	12	12
30	то же	9	12
31	что он	29	12
32	мы видели	9	12
33	ни в	2	12
34	и наконец	2	12
35	для него	2	12
36	все это	4	12
37	сказать что	2	11
38	его в	17	11
39	отношению к	2	11
40	мы знаем	12	11
41	только в	8	11
42	никогда не	5	10
43	и с	8	10
44	не только	17	10
45	но и	16	10
46	не в	11	10
47	он не	5	10
48	в том	13	10
49	мы уже	6	10
50	все что	5	10
51	один из	6	10
52	мы должны	7	9
53	могут быть	9	9
54	к этому	5	9
55	совершенно не	2	9
56	и др	6	9
57	к нему	5	9
58	уже не	14	9
59	и на	11	9
60	мы не	6	9
61	а не	5	9
62	с его	3	9
63	все же	17	8
64	с этим	7	8
65	было бы	2	8
66	и вот	4	8
67	еще не	16	8
68	с другими	4	8
69	а в	9	8
70	знаем что	10	8
71	в ней	8	8
72	на этом	5	8
73	при этом	4	8
74	не могут	2	7
75	в то	5	7
76	что в	18	7
77	хотя бы	2	7
78	и для	3	7
79	отношение к	3	7
80	роль в	3	7
81	того что	3	7
82	и у	3	7
83	но не	8	7
84	что все	4	7
85	об этом	6	7
86	связь с	20	7
87	в нем	10	7
88	и к	3	7
89	из них	4	7
90	жизни и	4	7
91	в этой	5	7
92	одно из	3	6
93	для этого	3	6
94	но мы	5	6
95	мы имеем	22	6
96	из этих	5	6
97	человека и	2	6
98	всех этих	2	6
99	не менее	6	6
100	для того	3	6
101	в таком	2	6
102	и о	2	6
103	если он	2	6
104	в пределах	5	6
105	она не	7	6
106	можно сказать	2	6
107	в свою	3	6
108	и что	13	6
109	во время	12	6
110	в основе	3	6
111	что это	8	5
112	ничего не	4	5
113	со стороны	6	5
114	тех же	2	5
115	что она	3	5
116	в которой	4	5
117	и по	3	5
118	другими словами	4	5
119	между ними	2	5
120	в этих	7	5
121	как это	5	5
