N	3gram	Propp_Isto	Morfolog
1	и т д	30	60
2	в этих случаях	13	14
3	мы видим что	6	11
4	в этом случае	8	10
5	не может быть	4	9
6	в связи с	5	9
7	таким образом мы	2	7
8	по отношению к	2	7
9	тем не менее	6	6
10	мы увидим ниже	3	6
11	в иное царство	5	6
12	подобно тому как	3	5
13	наряду с этим	2	5
14	с другой стороны	10	5
15	как мы увидим	2	5
16	но все же	5	4
17	в том что	8	4
18	независимо от того	2	4
19	о том что	3	3
20	то время как	2	3
21	состоит в том	2	3
22	в то время	2	3
23	случай мы имеем	4	3
24	как и в	2	3
25	в большинстве случаев	2	3
26	в руки героя	2	3
27	на то что	4	3
28	может быть разрешен	2	3
29	мы имеем в	4	2
30	то же происходит	2	2
31	в тех случаях	2	2
32	коня и пр	2	2
33	в таких случаях	2	2
34	и в других	3	2
35	в сказке о	5	2
36	во всяком случае	2	2
37	мы увидим что	2	2
38	не что иное	6	2
39	в точности соответствует	2	2
40	в данном случае	6	2
41	что иное как	6	2
42	мы не будем	2	2
43	это еще не	2	2
44	с того что	2	2
45	начинается с того	2	2
46	при помощи которой	2	2
47	мы уже видели	3	2
48	точно так же	8	2
49	тех случаях когда	2	2
50	во второй раз	2	2
51	можно было бы	2	2
52	с одной стороны	2	2
