N	2gram	Trubetskoy	Myslijsy
1	потому что	5	182
2	и в	14	121
3	может быть	9	107
4	в том	17	103
5	то что	13	83
6	для нас	2	75
7	что в	4	73
8	и не	19	73
9	только в	5	72
10	не только	9	67
11	а не	2	67
12	таким образом	11	64
13	том что	9	59
14	так как	4	59
15	в этом	17	59
16	но и	10	59
17	то же	11	56
18	не в	4	54
19	если бы	6	53
20	в себе	9	53
21	не может	22	52
22	по себе	2	52
23	того что	3	47
24	в сознании	3	46
25	в нем	5	45
26	было бы	5	45
27	не есть	3	42
28	как и	4	42
29	так что	2	39
30	вместе с	4	39
31	что и	3	38
32	при этом	5	37
33	тогда когда	4	36
34	точно так	2	35
35	тем что	3	33
36	и что	2	32
37	по отношению	2	30
38	а в	5	30
39	но не	4	29
40	между тем	5	29
41	мы можем	2	28
42	для него	6	28
43	с этим	2	27
44	и т	3	26
45	не было	3	26
46	в то	10	24
47	с тем	6	23
48	от того	4	23
49	как бы	4	23
50	но в	2	22
51	а потому	5	22
52	то это	3	22
53	и потому	3	21
54	в ней	2	20
55	тем самым	2	19
56	и как	3	19
57	с ним	2	19
58	и то	4	19
59	что это	3	19
60	из этих	3	19
61	но это	2	19
62	должно быть	3	19
63	о том	7	19
64	для того	6	18
65	еще не	3	18
66	не могут	4	18
67	тогда как	2	18
68	в самом	3	18
69	в таком	2	18
70	в его	4	17
71	со стороны	4	17
72	точки зрения	11	17
73	что оно	3	17
74	во всяком	9	17
75	не можем	2	17
76	в своем	6	16
77	к тому	7	16
78	так же	2	16
79	на то	5	16
80	и на	5	16
81	и по	3	15
82	в этих	2	15
83	и тем	2	15
84	что он	6	15
85	прежде всего	8	15
86	уже не	2	15
87	мы должны	7	14
88	связи с	3	14
89	то в	3	14
90	в котором	2	14
91	все же	4	14
92	во всех	5	14
93	бы ни	2	14
94	же время	10	14
95	что все	3	13
96	зависит от	2	13
97	а между	5	13
98	из них	3	13
99	как на	8	13
100	никогда не	5	12
101	от него	2	12
102	и вместе	2	12
103	друг друга	3	12
104	и при	6	12
105	что же	4	12
106	все это	6	12
107	сих пор	5	12
108	что такое	2	12
109	или менее	4	12
110	более или	4	12
111	всяком случае	6	12
112	до сих	5	12
113	в силу	2	11
114	того чтобы	8	11
115	только на	2	11
116	только для	2	11
117	что для	3	11
118	все что	4	11
119	и если	7	11
120	его в	4	11
121	указывает на	2	11
122	если не	2	11
123	к нему	2	11
124	с нею	3	11
125	и только	5	11
126	представить себе	2	10
127	что только	2	10
128	и для	6	10
129	хотя бы	5	10
130	в других	2	10
131	если же	2	10
132	тому что	2	10
133	и от	2	10
134	он не	5	10
135	и с	7	10
136	и есть	2	10
137	вопрос о	5	9
138	не будет	7	9
139	во многих	2	9
140	и даже	2	9
141	и о	2	9
142	с точки	9	9
143	самом деле	7	9
144	во время	2	9
145	ко всем	3	9
146	таким же	3	9
147	на самом	6	8
148	что они	3	8
149	в глазах	2	8
150	и более	2	8
151	их в	2	8
152	именно в	3	8
153	во всем	4	8
154	помнить что	2	8
155	говоря о	2	8
156	этом случае	3	8
157	и тогда	2	8
158	не так	2	8
159	говорить о	3	8
160	или в	3	8
161	но мы	3	7
162	для себя	2	7
163	том же	2	7
164	на основании	2	7
165	от нас	2	7
166	она не	2	7
167	и во	3	7
168	себя и	5	7
169	место в	2	7
170	все эти	2	7
171	и тот	2	7
172	касается до	2	7
173	в своих	6	7
174	вряд ли	3	7
175	в таких	2	7
176	деятельности и	2	7
177	даже и	2	7
178	самого себя	7	7
179	в данном	7	7
180	на это	2	7
181	о котором	3	7
182	сама по	2	7
183	несмотря на	3	7
184	но если	3	6
185	друг от	2	6
186	в своей	5	6
187	должна быть	2	6
188	в этой	4	6
189	в мире	4	6
