N	3gram	Propp_Isto	Stilisti
1	в зависимости от	3	7
2	с самого начала	4	4
3	то же самое	3	4
4	в этом случае	3	3
5	на самом деле	2	3
6	не только в	5	3
7	мы уже видели	4	3
8	но все же	7	3
9	но и в	4	3
10	вместе с тем	7	2
11	в связи с	5	2
12	мы увидим что	8	2
13	что иное как	3	2
14	должны были бы	2	2
15	для наших целей	2	2
16	как мы увидим	2	2
17	есть не что	2	2
18	по отношению к	6	2
19	на первый взгляд	2	2
20	мы видели что	3	2
21	о том что	5	2
22	мы видим что	12	2
23	не что иное	3	2
24	не может быть	8	2
