N	3gram	Propp_Morf	EvropaiC
1	в том что	4	16
2	по отношению к	7	11
3	более или менее	2	8
4	с точки зрения	6	8
5	на самом деле	4	7
6	для того чтобы	3	7
7	на то что	3	7
8	том случае если	2	4
9	в том случае	3	4
10	тем не менее	6	4
11	с другой стороны	5	4
12	в этом случае	10	4
13	может быть и	2	4
14	о том что	3	4
15	не может быть	9	4
16	то ни было	2	3
17	бы то ни	3	3
18	в настоящее время	3	3
19	в данном случае	2	3
20	в связи с	9	3
21	с одной стороны	2	2
22	во всяком случае	2	2
23	но все же	4	2
24	в то время	3	2
25	но так как	2	2
26	как и в	3	2
27	друг к другу	2	2
28	друг на друга	2	2
