N	2gram	Savitsky_E	Poddanst
1	не только	18	17
2	и в	37	14
3	и не	14	12
4	в области	11	11
5	в этом	12	10
6	в отношении	32	10
7	но в	14	9
8	то же	15	9
9	в том	11	9
10	старого света	14	9
11	в качестве	14	9
12	хотя бы	15	8
13	в пределах	25	8
14	в то	16	7
15	только в	9	7
16	же время	14	7
17	но и	14	6
18	было бы	8	6
19	в смысле	9	6
20	в ней	4	6
21	россии в	4	5
22	с другой	7	5
23	не в	5	5
24	в которых	3	5
25	отношении к	15	5
26	может быть	6	5
27	по себе	4	4
28	что в	21	4
29	если бы	2	4
30	но также	2	4
31	и потому	5	4
32	в своем	14	4
33	том что	6	4
34	европейской культуры	3	4
35	а также	7	4
36	мы должны	2	4
37	в котором	2	4
38	в гораздо	2	4
39	на путях	4	4
40	с т	2	4
41	и к	3	4
42	как бы	6	4
43	и если	2	4
44	то что	6	4
45	не может	9	4
46	а в	2	4
47	русская революция	2	4
48	же в	2	4
49	россии и	3	4
50	и как	2	3
51	с тем	3	3
52	в порядке	2	3
53	но не	5	3
54	тем самым	5	3
55	россия в	11	3
56	т е	9	3
57	с точки	17	3
58	в россии	5	3
59	россии как	3	3
60	северной америке	3	3
61	столь же	5	3
62	мы не	4	3
63	для того	6	3
64	в себе	9	3
65	точки зрения	23	3
66	потому что	3	3
67	одной стороны	8	3
68	между тем	8	3
69	вслед за	6	3
70	могут быть	2	3
71	прежде всего	9	3
72	хотя и	2	3
73	с одной	8	3
74	заключается в	2	3
75	наряду с	2	3
76	для нас	4	2
77	в них	3	2
78	в мире	2	2
79	если в	2	2
80	есть не	2	2
81	которое в	2	2
82	для них	2	2
83	не к	2	2
84	в эту	2	2
85	стороны и	6	2
86	российского мира	3	2
87	и мы	3	2
88	более чем	2	2
89	которую мы	5	2
90	помнить что	2	2
91	и тем	3	2
92	и других	2	2
93	в его	2	2
94	с этим	2	2
95	по сравнению	2	2
96	в перспективе	4	2
97	в общем	3	2
98	сказывается в	2	2
99	исключительно в	2	2
100	бы ни	3	2
101	время в	3	2
102	со стороны	5	2
103	в последние	6	2
104	культуры в	4	2
105	именно в	4	2
106	в виде	5	2
107	еще более	2	2
108	тем более	4	2
109	в частности	5	2
110	как на	3	2
111	а не	2	2
112	во всей	2	2
113	и с	2	2
114	во всех	6	2
115	в ее	8	2
116	в полной	4	2
117	не нужно	2	2
118	в северной	2	2
119	между прочим	7	2
120	н с	11	2
121	заключает в	3	2
122	есть в	2	2
123	в сфере	3	2
124	в значительной	2	2
125	того что	7	2
126	другие народы	2	2
127	думать что	8	2
128	в силу	2	2
129	весьма вероятно	4	2
130	главным образом	2	2
131	из них	3	2
132	хозяйства и	2	2
133	отнюдь не	9	2
