N	2gram	Losev_Vlad	Poddanst
1	не только	35	17
2	и в	56	14
3	и не	33	12
4	в области	3	11
5	в этом	30	10
6	в отношении	5	10
7	но в	19	9
8	то же	10	9
9	в том	26	9
10	в качестве	7	9
11	н и	4	8
12	хотя бы	5	8
13	в то	15	7
14	только в	11	7
15	же время	7	7
16	в о	2	7
17	но и	26	6
18	было бы	7	6
19	в ней	5	6
20	а н	14	5
21	с другой	3	5
22	не в	12	5
23	и о	6	5
24	отношении к	2	5
25	е н	3	5
26	может быть	12	5
27	по себе	3	4
28	что в	24	4
29	если бы	2	4
30	и потому	8	4
31	тех кто	2	4
32	в своем	10	4
33	том что	22	4
34	а также	12	4
35	мы должны	3	4
36	в котором	10	4
37	и к	10	4
38	как бы	5	4
39	и если	8	4
40	то что	30	4
41	не может	12	4
42	в с	7	4
43	а в	20	4
44	же в	3	4
45	россии и	4	4
46	что мы	2	3
47	и как	7	3
48	с тем	4	3
49	в порядке	2	3
50	к и	2	3
51	в сравнении	2	3
52	но не	5	3
53	тем самым	2	3
54	сравнении с	2	3
55	это не	3	3
56	и вселенская	4	3
57	в россии	7	3
58	н н	18	3
59	мы не	2	3
60	я и	2	3
61	для того	4	3
62	в себе	5	3
63	точки зрения	4	3
64	потому что	16	3
65	в нем	7	3
66	и без	2	3
67	прежде всего	5	3
68	и т	3	3
69	хотя и	9	3
70	тот же	7	3
71	с ними	2	3
72	для нас	9	2
73	да и	6	2
74	и и	8	2
75	м а	5	2
76	в них	5	2
77	в жизни	4	2
78	отношения к	4	2
79	для них	2	2
80	не к	2	2
81	никак не	6	2
82	в русском	2	2
83	и мы	6	2
84	и весьма	2	2
85	д н	3	2
86	и это	4	2
87	есть нечто	2	2
88	суждений о	2	2
89	в статье	2	2
90	и тем	2	2
91	и других	2	2
92	в его	18	2
93	с этим	3	2
94	д д	2	2
95	м и	7	2
96	и вот	5	2
97	в общем	4	2
98	не менее	9	2
99	для тех	2	2
100	церкви и	2	2
101	время в	4	2
102	со стороны	5	2
103	в последние	3	2
104	именно в	4	2
105	в начале	7	2
106	в виде	4	2
107	еще более	3	2
108	тем более	4	2
109	все это	7	2
110	в частности	4	2
111	как на	2	2
112	начала и	2	2
113	а не	5	2
114	не было	12	2
115	и есть	2	2
116	и с	27	2
117	на этих	2	2
118	не будем	3	2
119	во всех	4	2
120	ней не	2	2
121	в полной	3	2
122	в тот	3	2
123	между прочим	18	2
124	как раз	7	2
125	с с	5	2
126	того что	6	2
127	главным образом	5	2
128	из них	3	2
129	в которую	2	2
130	не столько	4	2
131	отнюдь не	3	2
