N	3gram	Tiupa_Anal	Tvorches
1	в то же	7	25
2	то же время	7	24
3	в том что	12	11
4	в соответствии с	2	8
5	о том что	7	8
6	в конечном счете	5	6
7	не может быть	2	6
8	в русской литературе	5	5
9	по отношению к	9	5
10	по крайней мере	5	4
11	на наш взгляд	5	4
12	в одной из	2	4
13	с точки зрения	2	4
14	дело в том	3	4
15	в таком случае	2	3
16	как и в	6	3
17	едва ли не	3	3
18	с другой стороны	7	3
19	во всяком случае	6	3
20	в отличие от	5	3
21	что он не	2	2
22	тем не менее	3	2
23	в глубине души	2	2
24	не только в	5	2
25	при этом он	2	2
26	можно сказать что	2	2
27	в известном смысле	2	2
28	в данном случае	11	2
29	войне и мире	2	2
30	и сам автор	2	2
31	к тому же	7	2
32	в свою очередь	7	2
