N	2gram	Nazirov_Tv	EvropaiC
1	таким образом	14	34
2	в том	13	31
3	и в	40	24
4	том что	14	20
5	все эти	3	19
6	не может	9	18
7	то что	9	18
8	может быть	11	17
9	все же	9	15
10	в этом	11	13
11	все это	14	13
12	в своем	4	12
13	с этим	2	12
14	самом деле	4	12
15	между тем	2	12
16	по отношению	3	11
17	но и	10	11
18	отношению к	3	11
19	культуры и	2	11
20	не только	16	10
21	так и	5	10
22	во всех	2	10
23	мы знаем	2	10
24	как и	16	10
25	как бы	26	10
26	из себя	2	10
27	и не	12	9
28	не в	3	9
29	что в	17	9
30	и все	6	9
31	того же	2	9
32	потому что	10	9
33	при этом	14	9
34	и что	2	9
35	так же	6	8
36	если бы	4	8
37	чем у	2	8
38	к тому	2	8
39	в самом	6	8
40	на самом	3	7
41	так как	6	7
42	что он	11	7
43	того что	3	7
44	о котором	2	7
45	не менее	8	7
46	о том	9	7
47	что и	3	7
48	в этой	7	7
49	вместе с	4	7
50	в мире	8	6
51	только в	7	6
52	еще не	5	6
53	так что	4	6
54	в то	23	6
55	с другой	4	6
56	и если	3	6
57	и на	12	6
58	тогда как	3	6
59	что с	2	6
60	тому же	2	6
61	с ним	4	6
62	и от	8	5
63	его в	2	5
64	в себе	3	5
65	к этому	4	5
66	в которой	5	5
67	как к	2	5
68	и их	2	5
69	из них	4	5
70	из всех	5	5
71	у него	11	5
72	что все	4	5
73	далеко не	3	5
74	но в	11	5
75	столь же	2	5
76	именно в	6	5
77	и без	2	5
78	и с	9	5
79	другой стороны	2	5
80	в целом	7	5
81	не будет	2	5
82	в его	19	5
83	как будто	5	5
84	в пользу	2	5
85	никогда не	13	4
86	в такой	2	4
87	не могут	2	4
88	хотя бы	5	4
89	тем не	2	4
90	в конце	5	4
91	и у	3	4
92	ее и	2	4
93	та же	4	4
94	то же	19	4
95	в их	5	4
96	том же	3	4
97	а с	4	4
98	одним из	6	4
99	в виде	4	4
100	что его	4	4
101	между собой	2	4
102	что для	3	4
103	не так	5	4
104	в в	2	4
105	не есть	2	4
106	связи с	2	4
107	что как	2	4
108	в таком	4	4
109	он не	10	4
110	в дальнейшем	7	4
111	хотя и	5	4
112	мы уже	2	4
113	ибо в	2	4
114	даже в	4	3
115	данном случае	2	3
116	представление о	9	3
117	тем самым	10	3
118	при помощи	4	3
119	это не	9	3
120	и потому	4	3
121	и до	2	3
122	от него	2	3
123	на земле	4	3
124	в начале	2	3
125	настоящее время	2	3
126	цивилизации в	2	3
127	даже если	2	3
128	только что	2	3
129	с этой	4	3
130	в этих	2	3
131	и других	5	3
132	в связи	2	3
133	и наконец	3	3
134	как у	3	3
135	во имя	3	3
136	у нас	2	3
137	прежде всего	10	3
138	отличие от	3	3
139	жизнь и	2	3
140	с одной	2	3
141	как известно	3	3
142	в жизни	3	3
143	но не	7	3
144	и это	2	3
145	в данном	2	3
146	а в	10	3
147	может служить	2	3
148	в нем	4	3
149	в ней	2	3
150	что оно	2	3
151	не то	2	3
152	же не	2	3
153	может не	2	3
154	было бы	2	3
155	и по	5	3
156	в истории	2	3
157	в с	2	3
158	же как	3	3
159	и того	2	3
160	тот же	3	3
161	одна из	5	2
162	индивидуальном сознании	2	2
163	то в	2	2
164	представляет собою	2	2
165	в процессе	3	2
166	из этой	3	2
167	и поэтому	2	2
168	что она	5	2
169	более всего	2	2
170	то есть	16	2
171	свою очередь	2	2
172	но если	4	2
173	на него	2	2
174	друг друга	2	2
175	однако это	2	2
176	в виду	3	2
177	не было	3	2
178	в частности	4	2
179	него в	2	2
180	чем их	2	2
181	что они	3	2
182	такой же	4	2
183	в один	3	2
184	не знает	2	2
185	в одно	2	2
186	в глазах	2	2
187	и будет	2	2
188	для него	9	2
189	не имеет	2	2
190	для этой	2	2
191	что у	5	2
192	тому что	2	2
193	она не	2	2
194	со своими	2	2
195	в ту	4	2
196	на том	2	2
197	гораздо более	2	2
198	в котором	8	2
199	давно уже	2	2
200	ту же	4	2
201	в своих	8	2
202	в свою	8	2
203	этот вопрос	4	2
204	что на	3	2
205	в которых	3	2
206	отнюдь не	9	2
207	если он	4	2
208	всяком случае	2	2
209	между людьми	3	2
210	жизни и	3	2
211	а затем	5	2
212	сводится к	2	2
213	с ними	3	2
214	во всяком	2	2
215	и его	14	2
216	же время	18	2
217	и только	2	2
218	с ее	3	2
219	и сам	5	2
220	во всей	2	2
221	развития человечества	2	2
222	и более	2	2
223	в себя	3	2
224	о которой	2	2
225	той же	4	2
226	я не	5	2
227	вовсе не	5	2
228	в основе	3	2
