N	3gram	Propp_Isto	VeschiIm
1	и т д	36	38
2	это значит что	2	25
3	не может быть	6	24
4	тем не менее	6	11
5	в том что	4	9
6	т е в	6	7
7	на то что	3	7
8	одно и то	2	5
9	и то же	2	5
10	подобно тому как	2	5
11	не только в	2	5
12	не потому что	2	5
13	и тем не	2	5
14	и то что	3	5
15	с этой точки	2	4
16	то время как	3	4
17	этой точки зрения	2	4
18	о том как	4	4
19	о том что	5	4
20	в то время	3	4
21	вместе с тем	7	3
22	с одной стороны	7	3
23	с другой стороны	10	3
24	мы видели что	2	3
25	но все же	6	2
26	для того чтобы	3	2
27	то что он	2	2
28	в связи с	6	2
29	мы видим что	4	2
30	так же как	10	2
31	друг с другом	2	2
32	только тогда когда	2	2
33	и таким образом	2	2
34	в данном случае	2	2
35	т е на	2	2
36	в том чтобы	2	2
