N	3gram	Potebnia_M	Psycholo
1	в том что	22	78
2	для того чтобы	5	70
3	на то что	3	55
4	и т п	7	37
5	о том что	5	34
6	то же самое	3	31
7	с точки зрения	2	29
8	с одной стороны	4	28
9	все то что	2	23
10	до сих пор	4	23
11	не может быть	7	23
12	и в самом	3	22
13	и т д	5	22
14	к тому что	3	20
15	с другой стороны	4	20
16	в том чтобы	4	20
17	на самом деле	4	17
18	не только не	4	16
19	во всяком случае	3	14
20	в этом отношении	2	14
21	в то время	7	14
22	само по себе	6	14
23	заключает в себе	10	13
24	то время как	3	13
25	сам по себе	9	12
26	одной и той	4	12
27	и той же	4	12
28	то что в	2	11
29	подобно тому как	3	11
30	только в том	5	10
31	сами по себе	3	10
32	вместе с тем	5	10
33	том что он	2	10
34	не в том	6	10
35	и то что	3	10
36	в том случае	2	9
37	потому что в	4	9
38	не в состоянии	4	9
39	что он не	3	9
40	потому что он	3	9
41	в данном случае	3	9
42	таким образом что	2	9
43	не то что	2	9
44	и то же	7	8
45	и как бы	2	8
46	смысле этого слова	9	8
47	что и в	4	7
48	именно то что	2	7
49	в свою очередь	6	7
50	можно сказать что	3	7
51	как и в	3	7
52	одно и то	7	7
53	в этом смысле	2	7
54	более или менее	6	6
55	тем не менее	7	6
56	сама по себе	3	6
57	тех пор пока	2	6
58	и в том	3	6
59	мы не можем	5	6
60	и тот же	2	6
61	то что мы	3	6
62	и та же	2	6
63	и может быть	2	6
64	по себе не	2	6
65	не только в	4	6
66	до тех пор	5	6
67	в силу того	2	5
68	в таком случае	2	5
69	не было бы	2	5
70	в собственном смысле	2	5
71	нам кажется что	3	5
72	один и тот	2	5
73	в том виде	2	5
74	в том смысле	6	5
75	но так как	2	4
76	от того что	7	4
77	одним и тем	4	4
78	а между тем	6	4
79	мы должны будем	2	4
80	и тем же	4	4
81	именно в том	3	4
82	силу того что	2	4
83	одного и того	2	4
84	до такой степени	3	4
85	одна и та	2	4
86	того и другого	2	4
87	только тогда когда	11	4
88	в произведении искусства	3	4
89	только потому что	5	4
90	а в том	5	4
91	и того же	2	4
92	то есть к	3	4
93	и то и	2	3
94	то и другое	3	3
95	после того как	2	3
96	а b с	4	3
97	потому что и	3	3
98	если бы в	2	3
99	в этом случае	2	3
100	не могут быть	3	3
101	с тем и	3	3
102	не есть еще	2	3
103	по себе а	4	3
104	не может стать	2	3
105	в то же	8	3
106	не заключает в	3	3
107	что в ней	2	3
108	та и другая	2	3
109	по отношению к	10	3
110	может быть не	2	3
111	то же время	8	3
112	друг от друга	2	3
113	в том как	3	3
114	том смысле что	2	3
115	потому что оно	2	2
116	в первом случае	2	2
117	то есть не	4	2
118	но вместе с	2	2
119	потому что не	4	2
120	так и в	2	2
121	то что я	2	2
122	и что только	2	2
123	этого слова и	2	2
124	из этих слов	2	2
125	но никак не	2	2
126	действует на нас	2	2
127	то же что	5	2
128	что в то	4	2
129	но и в	4	2
130	лишь тогда когда	4	2
131	мы старались показать	2	2
132	иначе как в	2	2
133	случае если бы	2	2
134	что мы видим	2	2
135	а не как	2	2
136	по крайней мере	8	2
137	к чувственному образу	2	2
138	смотреть как на	3	2
139	том что оно	2	2
140	что мы не	2	2
141	что внутренняя форма	3	2
142	в сознании и	3	2
143	между тем как	4	2
144	потому что мы	3	2
145	может быть только	4	2
146	а может быть	2	2
147	равно как и	2	2
