N	2gram	Berdyaev_V	DiskursI
1	а не	7	60
2	не только	2	49
3	и в	16	49
4	как и	4	47
5	в том	3	44
6	и не	20	44
7	том что	2	40
8	в этом	4	38
9	но и	5	35
10	но не	2	31
11	так и	4	28
12	но в	3	28
13	еще не	8	23
14	прежде всего	2	19
15	в нем	4	19
16	в своей	3	19
17	в мире	5	17
18	только в	2	16
19	в его	4	15
20	то что	9	15
21	это не	2	14
22	не в	3	14
23	для него	2	13
24	как бы	5	13
25	и все	4	12
26	что в	3	11
27	с его	3	11
28	не было	3	11
29	а в	2	10
30	а с	2	10
31	между тем	2	9
32	в них	3	9
33	уже не	2	9
34	к тому	3	8
35	потому что	4	8
36	хотя и	5	8
37	в этих	3	8
38	не с	2	8
39	в себя	2	8
40	в котором	4	8
41	могут быть	2	7
42	и для	3	7
43	но это	3	7
44	что и	3	7
45	мира в	2	7
46	лишь в	3	7
47	ни в	3	7
48	никогда не	3	6
49	что он	4	6
50	в истории	8	6
51	и то	2	6
52	одна из	2	6
53	во всех	3	6
54	и потому	7	5
55	того что	5	5
56	в прошлом	2	5
57	один из	2	5
58	оно не	3	5
59	говорить о	4	5
60	не к	2	5
61	в ней	4	5
62	тем что	2	5
63	не могут	2	4
64	более чем	2	4
65	и это	2	4
66	что не	4	4
67	и во	2	4
68	что они	7	4
69	во всяком	2	4
70	а к	2	4
71	в жизни	3	4
72	во мне	4	4
73	не есть	6	4
74	и есть	4	4
75	с ним	2	4
76	для человека	2	3
77	в форме	2	3
78	они и	2	3
79	на том	2	3
80	на себя	5	3
81	все эти	3	3
82	мы не	2	3
83	должна быть	3	3
84	да и	2	3
85	хотя бы	3	3
86	как не	3	3
87	не имеет	3	3
88	является в	2	3
89	их в	3	3
90	к чему	3	3
91	жизни и	3	3
92	и сам	2	3
93	и что	3	3
94	его к	2	2
95	вслед за	2	2
96	в чем	3	2
97	его не	2	2
98	всего в	2	2
99	к вечности	3	2
100	во главе	2	2
101	все это	5	2
102	и они	3	2
103	это еще	4	2
104	не могли	2	2
105	должно быть	3	2
106	за ним	3	2
107	в первый	3	2
108	в последнем	2	2
109	ее в	2	2
110	а между	2	2
111	личности и	3	2
112	тем кто	2	2
113	и теперь	2	2
114	что было	2	2
