N	3gram	Bakhtin_fo	RusskieA
1	в том что	4	49
2	и т д	3	21
3	вместе с тем	3	11
4	о том что	2	10
5	и в других	4	9
6	в данном случае	2	8
7	для того чтобы	11	8
8	как мы увидим	2	7
9	не может быть	4	6
10	так же как	2	6
11	в связи с	12	5
12	в то время	3	4
13	как мы уже	11	4
14	в отличие от	3	4
15	на другой день	2	3
16	же как и	2	3
17	по отношению к	3	3
18	может быть и	4	3
19	с тем что	2	3
20	с точки зрения	9	3
21	друг к другу	2	3
22	до сих пор	4	3
23	в виду что	2	2
24	в этом отношении	5	2
25	в большинстве случаев	2	2
26	о том как	2	2
27	как и в	3	2
28	не только в	6	2
29	во всех этих	2	2
30	друг с другом	5	2
31	и в этом	2	2
32	с одной стороны	3	2
33	может быть только	3	2
34	и т п	18	2
35	но все же	3	2
36	равно как и	4	2
