N	3gram	Tiupa_Hudo	formyVre
1	и т п	10	32
2	то же время	11	21
3	в то же	11	18
4	в связи с	3	15
5	с точки зрения	5	15
6	для того чтобы	2	12
7	не только в	4	11
8	до сих пор	3	10
9	и в то	2	10
10	к себе самому	2	8
11	в этом отношении	4	7
12	и т д	5	7
13	не может быть	5	7
14	с одной стороны	4	6
15	друг от друга	2	6
16	и в этом	3	6
17	в том что	15	5
18	как и в	5	5
19	одних и тех	2	4
20	связи с этим	2	4
21	как раз в	2	4
22	и тех же	2	4
23	но все же	2	4
24	по отношению к	15	4
25	но при этом	3	3
26	то же самое	3	3
27	о том как	4	3
28	о том что	14	3
29	но в то	3	3
30	так же как	2	3
31	же как и	2	3
32	это прежде всего	2	2
33	к тому что	8	2
34	по своей природе	2	2
35	своей жизни в	2	2
36	к жизни и	3	2
37	в данном случае	3	2
38	не только для	2	2
39	жизни и смерти	4	2
40	и в самом	4	2
41	то что было	2	2
