N	3gram	Savitsky_E	formyVre
1	то же время	14	21
2	в то же	15	18
3	с точки зрения	16	15
4	друг с другом	3	13
5	для того чтобы	5	12
6	не только в	4	11
7	и в то	8	10
8	и прежде всего	3	8
9	в большинстве случаев	2	8
10	прежде всего в	2	7
11	в этом отношении	3	7
12	не может быть	2	7
13	с одной стороны	8	6
14	друг от друга	2	6
15	и в этом	4	6
16	в том что	6	5
17	той или иной	4	5
18	одной стороны и	6	5
19	с другой стороны	2	4
20	во всяком случае	3	4
21	и в частности	2	3
22	так и в	2	3
23	но в то	2	3
24	так же как	5	3
25	как бы ни	3	3
26	же как и	3	3
27	по сравнению с	2	3
28	в той или	3	3
29	можно сказать что	3	2
30	в частности в	2	2
31	в данном случае	2	2
32	и все другие	2	2
33	в свою очередь	2	2
