N	3gram	Medvedev_F	Vvedenie
1	и т д	11	39
2	для того чтобы	3	22
3	в том что	3	15
4	в этом смысле	3	10
5	не может быть	11	10
6	тем не менее	2	9
7	до сих пор	7	7
8	в широком смысле	2	7
9	в применении к	4	6
10	в то же	13	6
11	в самом деле	5	6
12	то же время	13	6
13	во всяком случае	6	5
14	и т п	11	5
15	с другой стороны	4	5
16	в том чтобы	3	5
17	в данном случае	2	4
18	т е в	2	4
19	в этом отношении	7	4
20	и в этом	6	4
21	но все же	2	4
22	с одной стороны	5	4
23	по отношению к	4	4
24	в отличие от	2	4
25	с точки зрения	17	4
26	вместе с тем	5	3
27	одной стороны и	4	3
28	как мы видели	5	3
29	в строгом смысле	2	3
30	в зависимости от	4	3
31	с тем что	3	3
32	сама по себе	2	3
33	но в то	3	3
34	сам по себе	2	2
35	в целом ряде	2	2
36	языка и его	5	2
37	не в том	3	2
38	в конце концов	2	2
39	что в нем	2	2
40	смысле этого слова	4	2
41	может быть и	4	2
42	в связи с	9	2
43	в свою очередь	6	2
44	не могут быть	4	2
