N	3gram	Bakhtin_Pr	Tvorches
1	в романах достоевского	6	29
2	в то же	13	25
3	то же время	13	24
4	и т д	4	17
5	в творчестве достоевского	5	11
6	в том что	6	11
7	о том что	2	8
8	и в то	2	7
9	в романе достоевского	6	7
10	в бедных людях	4	6
11	в мире достоевского	4	6
12	но в то	7	6
13	не может быть	8	6
14	записок из подполья	2	5
15	и т п	10	5
16	по отношению к	12	5
17	в самом деле	6	5
18	по крайней мере	2	4
19	в произведениях достоевского	6	4
20	с точки зрения	21	4
21	до сих пор	9	4
22	как и в	3	3
23	хотя и не	3	3
24	с другой стороны	6	3
25	и не может	6	3
26	сами по себе	4	3
27	во всяком случае	4	3
28	в отличие от	4	3
29	но при этом	2	2
30	бы он ни	2	2
31	пространстве а не	2	2
32	у него в	2	2
33	а не во	2	2
34	на самом деле	4	2
35	тем не менее	2	2
36	на этот вопрос	2	2
37	б м энгельгардт	2	2
38	ивана карамазова и	3	2
39	не только в	2	2
40	можно сказать что	2	2
41	человека и его	2	2
42	так и в	2	2
43	мы уже говорили	3	2
44	в его произведениях	2	2
45	это не значит	3	2
46	в его творчестве	3	2
47	в конце концов	7	2
48	не во времени	2	2
49	но это не	2	2
50	в данном случае	2	2
51	только то что	2	2
52	в одном из	2	2
53	в пространстве а	2	2
54	все же не	3	2
55	к тому же	2	2
56	таким образом и	2	2
