N	3gram	Bakhtin_Fr	KulturaY
1	для того чтобы	8	38
2	с точки зрения	5	36
3	в том что	8	33
4	в самом деле	2	29
5	можно было бы	2	25
6	с другой стороны	2	17
7	до сих пор	3	14
8	в связи с	5	12
9	в этом отношении	7	11
10	не может быть	4	11
11	о том что	5	10
12	вместе с тем	2	9
13	на самом деле	4	8
14	с одной стороны	2	7
15	в то же	14	6
16	к тому же	3	6
17	то же время	14	6
18	в отличие от	3	6
19	более или менее	2	5
20	можно говорить о	2	5
21	потому что он	3	5
22	в данном случае	4	5
23	хотя бы в	2	5
24	как мы видели	4	5
25	и вовсе не	3	4
26	в первом случае	3	4
27	сих пор еще	2	4
28	так же как	4	4
29	точки зрения на	2	3
30	в то время	3	3
31	о том как	2	3
32	что и в	2	3
33	только для того	2	3
34	не только для	2	3
35	и не в	2	3
36	между тем как	2	2
37	и прежде всего	4	2
38	ровно ничего не	2	2
39	потому что она	2	2
40	но вернемся к	3	2
41	в большинстве случаев	5	2
42	таким образом в	3	2
43	в другом месте	3	2
44	и тот же	2	2
45	в том числе	6	2
46	в известной мере	5	2
47	также и в	2	2
48	имеется в виду	2	2
49	можно сказать что	4	2
50	и в то	3	2
