N	3gram	Losev_Prob	EvropaiE
1	с точки зрения	3	16
2	в то же	4	15
3	с одной стороны	4	8
4	одной стороны и	2	6
5	в том что	7	6
6	для того чтобы	9	5
7	так же как	2	5
8	бы то ни	2	4
9	той или иной	5	4
10	не только в	3	4
11	и в этом	5	4
12	того или иного	6	4
13	во всяком случае	11	3
14	в этом отношении	2	3
15	можно сказать что	6	3
16	в этом смысле	8	3
17	хотя бы и	3	3
18	можно было бы	4	3
19	и только в	2	2
20	в частности в	2	2
21	то что в	4	2
22	в данном случае	10	2
23	с другой стороны	7	2
24	только в том	4	2
25	на то что	12	2
26	и в частности	3	2
27	не говоря уже	6	2
28	или хотя бы	2	2
29	так и в	2	2
30	заключается в том	2	2
31	не может быть	5	2
