N	2gram	Tiupa_Vved	Myslijsy
1	потому что	7	182
2	то есть	13	142
3	и в	23	121
4	может быть	25	107
5	в том	21	103
6	то что	9	83
7	в слове	4	78
8	для нас	4	75
9	что в	6	73
10	и не	24	73
11	только в	9	72
12	не только	32	67
13	а не	31	67
14	таким образом	6	64
15	том что	16	59
16	в этом	27	59
17	но и	31	59
18	то же	8	56
19	не в	12	54
20	если бы	10	53
21	в себе	15	53
22	не может	14	52
23	по себе	2	52
24	того что	7	47
25	в сознании	5	46
26	в нем	9	45
27	было бы	4	45
28	не есть	2	42
29	как и	21	42
30	вместе с	2	39
31	мы не	6	38
32	что и	6	38
33	так и	14	37
34	при этом	43	37
35	как в	8	37
36	что мы	2	36
37	тем что	2	33
38	и что	2	32
39	по отношению	11	30
40	а в	15	30
41	но не	9	29
42	что не	2	29
43	между тем	3	29
44	мы можем	2	28
45	для него	5	28
46	могут быть	5	27
47	то и	2	26
48	не было	5	26
49	отношению к	11	26
50	в то	5	24
51	как бы	8	23
52	но в	14	22
53	по мере	2	22
54	не имеет	3	22
55	с другой	10	22
56	и потому	2	21
57	не менее	4	21
58	в ней	5	20
59	в одном	5	20
60	это не	7	20
61	мысль о	2	20
62	тем самым	6	19
63	заключает в	4	19
64	и как	2	19
65	с ним	3	19
66	что это	2	19
67	из этих	5	19
68	но это	4	19
69	тем не	3	19
70	о том	7	19
71	очевидно что	2	18
72	еще не	8	18
73	тогда как	16	18
74	по поводу	5	18
75	бы не	3	18
76	в самом	6	18
77	что я	2	18
78	в таком	2	18
79	заметить что	2	17
80	в его	9	17
81	слова и	3	17
82	со стороны	15	17
83	во всяком	3	17
84	не можем	2	17
85	уже в	2	17
86	слова в	3	17
87	в своем	9	16
88	к тому	9	16
89	а только	3	16
90	так же	2	16
91	в них	4	16
92	на то	3	16
93	и на	5	16
94	и по	3	15
95	стало быть	10	15
96	в этих	5	15
97	с одной	9	15
98	тому как	3	15
99	в ряду	2	15
100	и тем	3	15
101	что он	2	15
102	прежде всего	11	15
103	в свою	5	15
104	уже не	7	15
105	свою очередь	5	14
106	связи с	2	14
107	так сказать	2	14
108	столь же	3	14
109	в котором	11	14
110	все же	10	14
111	во всех	2	14
112	же время	4	14
113	и все	8	13
114	те же	2	13
115	зависит от	3	13
116	не следует	3	13
117	например в	2	13
118	и его	9	13
119	никогда не	6	12
120	что же	6	12
121	что на	4	12
122	все это	3	12
123	как мы	5	12
124	есть в	2	12
125	тем более	3	12
126	быть только	2	12
127	что такое	23	12
128	оно не	2	12
129	или менее	2	12
130	в чем	2	12
131	хотя и	10	12
132	другой стороны	3	12
133	более или	2	12
134	всяком случае	3	12
135	к одному	2	11
136	и притом	3	11
137	в силу	2	11
138	той же	3	11
139	того чтобы	2	11
140	в первом	3	11
141	только на	2	11
142	что для	2	11
143	все что	3	11
144	указывает на	2	11
145	мы видели	3	11
146	к нему	2	11
147	же в	3	11
148	подобно тому	3	11
149	и это	2	11
150	и только	2	11
151	быть не	4	11
152	и понимания	3	10
153	одной стороны	9	10
154	представить себе	2	10
155	том как	4	10
156	и для	8	10
157	хотя бы	2	10
158	тому что	2	10
159	так в	5	10
160	и от	3	10
161	бы в	4	10
162	он не	6	10
163	и с	2	10
164	и есть	2	10
165	могли бы	3	9
166	не все	2	9
167	и даже	3	9
168	на него	3	9
169	и о	4	9
170	далеко не	5	9
171	и того	3	9
172	самом деле	6	9
173	один из	3	9
174	в целом	4	9
175	во время	3	9
176	можно сказать	6	9
177	что она	2	9
178	на самом	5	8
179	так например	2	8
180	не как	2	8
181	что они	2	8
182	все равно	2	8
183	и более	5	8
184	их в	3	8
185	в которых	2	8
186	внимание на	4	8
187	вслед за	3	8
188	от них	2	8
189	с ними	2	8
190	которые не	2	8
191	судя по	3	8
192	говорить о	5	8
193	или в	3	8
194	слова но	2	7
195	для себя	2	7
196	во втором	4	7
197	и во	2	7
198	место в	2	7
199	или не	3	7
200	его с	2	7
201	что у	4	7
202	в своих	5	7
203	к одной	2	7
204	из него	2	7
205	не всегда	2	7
206	в разных	2	7
207	язык как	2	7
208	было в	2	7
209	могла бы	3	7
210	в данном	22	7
211	бы и	4	7
212	к этому	3	7
213	о котором	5	7
214	не с	4	7
215	в жизни	7	7
216	не существует	3	7
217	видно что	2	7
218	несмотря на	2	7
219	и слова	2	6
220	слов в	2	6
221	в виду	3	6
